éûä‘,4f0ãzçûâ∑ìx,4f1ãzçûâ∑ìx,4f2ãzçûâ∑ìx,4f3ãzçûâ∑ìx,4f4ãzçûâ∑ìx,4f5ãzçûâ∑ìx,4f6ãzçûâ∑ìx,4f7ãzçûâ∑ìx,4f8ãzçûâ∑ìx,4f9ãzçûâ∑ìx,äOãCâ∑
2020-12-25 00:00:00,21.3,21.3,25,25,22.8,22.8,24.8,24.8,24.8,25.7,7.8
2020-12-25 00:30:00,21.3,21.3,25,25,22.4,22.4,24.8,24.8,24.8,26.1,7.6
2020-12-25 01:00:00,22.8,22.8,24.5,24.5,23.6,23.6,22.8,22.8,22.8,25.3,7.6
2020-12-25 01:30:00,23.2,23.2,24.5,24.5,24.1,24.1,22.8,22.8,22.8,23.6,7.4
2020-12-25 02:00:00,23.2,23.2,24,24,23.6,23.6,22.8,22.8,22.8,22.8,7.1
2020-12-25 02:30:00,23.2,23.2,24,24,23.6,23.6,23.2,23.2,23.2,22.4,7
2020-12-25 03:00:00,23.2,23.2,23.5,23.5,23.2,23.2,23.2,23.2,23.2,22,7
2020-12-25 03:30:00,23.2,23.2,23.5,23.5,23.2,23.2,23.2,23.2,23.2,22,7
2020-12-25 04:00:00,23.2,23.2,23.5,23.5,22.8,22.8,22.8,22.8,22.8,21.6,6.7
2020-12-25 04:30:00,23.2,23.2,23.5,23.5,22.8,22.8,22.8,22.8,22.8,21.6,6.5
2020-12-25 05:00:00,23.2,23.2,23,23,22.4,22.4,22.4,22.4,22.4,21.2,6.3
2020-12-25 05:30:00,23.2,23.2,23,23,22,22,22.4,22.4,22.4,21.2,6.1
2020-12-25 06:00:00,22.8,22.8,23,23,22,22,22.4,22.4,22.4,21.2,5.8
2020-12-25 06:30:00,22.8,22.8,23,23,22,22,22,22,22,21.2,6.4
2020-12-25 07:00:00,22.8,22.8,22.5,22.5,21.6,21.6,22,22,22,20.8,6.4
2020-12-25 07:30:00,23.2,23.2,22.5,22.5,21.6,21.6,22,22,22,20.8,6.3
2020-12-25 08:00:00,20.9,20.9,22.5,22.5,20.8,20.8,22.4,22.4,22.4,21.2,7.1
2020-12-25 08:30:00,20.5,20.5,22.5,22.5,19.6,19.6,21.3,21.3,21.3,20.8,8.9
2020-12-25 09:00:00,21.7,21.7,23,23,20.8,20.8,23.6,23.6,23.6,22,10.5
2020-12-25 09:30:00,23.2,23.2,23,23,21.2,21.2,23.6,23.6,23.6,23.2,12.4
2020-12-25 10:00:00,24,24,23,23,21.6,21.6,23.6,23.6,23.6,23.6,11.3
2020-12-25 10:30:00,24.4,24.4,23.5,23.5,21.6,21.6,23.2,23.2,23.2,23.6,11.3
2020-12-25 11:00:00,24.8,24.8,23.5,23.5,21.6,21.6,23.2,23.2,23.2,23.6,11.9
2020-12-25 11:30:00,24.8,24.8,24,24,21.6,21.6,23.6,23.6,23.6,24.1,14.1
2020-12-25 12:00:00,25.2,25.2,24,24,22,22,24,24,24,23.6,13.8
2020-12-25 12:30:00,25.2,25.2,24,24,22.8,22.8,26,26,26,23.6,16
2020-12-25 13:00:00,25.2,25.2,24,24,22.8,22.8,26.4,26.4,26.4,23.2,14.9
2020-12-25 13:30:00,25.6,25.6,24.5,24.5,23.2,23.2,26.4,26.4,26.4,26.8,14.1
2020-12-25 14:00:00,25.6,25.6,24.5,24.5,23.2,23.2,26.8,26.8,26.8,26.4,13.9
2020-12-25 14:30:00,26,26,25,25,23.6,23.6,27.2,27.2,27.2,28.9,13
2020-12-25 15:00:00,26,26,25,25,24.1,24.1,27.2,27.2,27.2,26.8,12.8
2020-12-25 15:30:00,26,26,25,25,22.8,22.8,23.6,23.6,23.6,27.2,12.4
2020-12-25 16:00:00,26,26,25.5,25.5,22.8,22.8,24,24,24,26,11.9
2020-12-25 16:30:00,26,26,25.5,25.5,22.4,22.4,24,24,24,26.4,11.5
2020-12-25 17:00:00,25.6,25.6,25,25,22.4,22.4,23.6,23.6,23.6,25.6,11.1
2020-12-25 17:30:00,25.2,25.2,25,25,22,22,23.2,23.2,23.2,25.6,10.4
2020-12-25 18:00:00,25.2,25.2,25,25,22,22,23.2,23.2,23.2,25.2,10.1
2020-12-25 18:30:00,24.8,24.8,25,25,21.6,21.6,22.8,22.8,22.8,25.6,9.8
2020-12-25 19:00:00,24.8,24.8,24.5,24.5,21.2,21.2,22.4,22.4,22.4,24.8,9.8
2020-12-25 19:30:00,24.4,24.4,24.5,24.5,20.8,20.8,22.1,22.1,22.1,25.2,9.4
2020-12-25 20:00:00,24.4,24.4,24,24,20.4,20.4,22.1,22.1,22.1,24,9
2020-12-25 20:30:00,24,24,24,24,20.4,20.4,21.7,21.7,21.7,24.4,8.5
2020-12-25 21:00:00,24,24,24,24,20.4,20.4,21.7,21.7,21.7,24.8,8.3
2020-12-25 21:30:00,24,24,24,24,20.4,20.4,21.7,21.7,21.7,24.4,8.3
2020-12-25 22:00:00,24,24,23.5,23.5,21.6,21.6,19.6,19.6,19.6,25.6,7.8
2020-12-25 22:30:00,24,24,23.5,23.5,22,22,20.8,20.8,20.8,26.4,7.6
2020-12-25 23:00:00,24,24,23.5,23.5,22.4,22.4,21.6,21.6,21.6,26.8,6.9
2020-12-25 23:30:00,24,24,23.5,23.5,22.4,22.4,22,22,22,26.4,6.5
