éûä‘,5f0ãzçûâ∑ìx,5f1ãzçûâ∑ìx,5f2ãzçûâ∑ìx,5f3ãzçûâ∑ìx,5f4ãzçûâ∑ìx,5f5ãzçûâ∑ìx,5f6ãzçûâ∑ìx,5f7ãzçûâ∑ìx,5f8ãzçûâ∑ìx,5f9ãzçûâ∑ìx
2021-07-30 00:00:00,25.6,25.6,27.2,27.2,25.2,25.2,27.6,27.6,27.6,25.6
2021-07-30 00:30:00,25.6,25.6,26.8,26.8,25.2,25.2,27.6,27.6,27.6,25.2
2021-07-30 01:00:00,25.6,25.6,26.8,26.8,25.2,25.2,27.6,27.6,27.6,25.2
2021-07-30 01:30:00,25.6,25.6,26.8,26.8,25.2,25.2,27.6,27.6,27.6,25.2
2021-07-30 02:00:00,25.6,25.6,26.8,26.8,25.2,25.2,27.6,27.6,27.6,24.8
2021-07-30 02:30:00,25.6,25.6,26.8,26.8,25.2,25.2,27.2,27.2,27.2,24.8
2021-07-30 03:00:00,25.6,25.6,26.8,26.8,25.2,25.2,27.2,27.2,27.2,24.8
2021-07-30 03:30:00,25.6,25.6,26.4,26.4,25.2,25.2,27.2,27.2,27.2,24.8
2021-07-30 04:00:00,25.6,25.6,26.4,26.4,25.2,25.2,27.2,27.2,27.2,24.8
2021-07-30 04:30:00,25.6,25.6,26.4,26.4,25.2,25.2,27.2,27.2,27.2,24.8
2021-07-30 05:00:00,25.6,25.6,26.4,26.4,25.2,25.2,27.2,27.2,27.2,24.8
2021-07-30 05:30:00,25.6,25.6,26.4,26.4,25.2,25.2,27.2,27.2,27.2,24.8
2021-07-30 06:00:00,25.6,25.6,26.4,26.4,25.2,25.2,26.8,26.8,26.8,24.8
2021-07-30 06:30:00,25.6,25.6,26.4,26.4,25.2,25.2,26.8,26.8,26.8,24.8
2021-07-30 07:00:00,24.8,24.8,25.2,25.2,25.2,25.2,26.8,26.8,26.8,24.8
2021-07-30 07:30:00,24.8,24.8,25.2,25.2,24.4,24.4,24.8,24.8,24.8,24.8
2021-07-30 08:00:00,22.8,22.8,23.2,23.2,24.8,24.8,24.4,24.4,24.4,24.8
2021-07-30 08:30:00,24.4,24.4,25.2,25.2,25.2,25.2,26,26,26,25.2
2021-07-30 09:00:00,25.2,25.2,25.2,25.2,24.8,24.8,25.2,25.2,25.2,23.2
2021-07-30 09:30:00,25.6,25.6,25.2,25.2,25.2,25.2,25.2,25.2,25.2,23.6
2021-07-30 10:00:00,24.8,24.8,25.2,25.2,25.2,25.2,25.2,25.2,25.2,24.4
2021-07-30 10:30:00,25.2,25.2,24.8,24.8,25.2,25.2,25.2,25.2,25.2,24.4
2021-07-30 11:00:00,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,24
2021-07-30 11:30:00,24.4,24.4,24.4,24.4,24,24,24.4,24.4,24.4,24
2021-07-30 12:00:00,25.2,25.2,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.8
2021-07-30 12:30:00,24.8,24.8,25.2,25.2,25.2,25.2,26,26,26,25.2
2021-07-30 13:00:00,24.4,24.4,24.8,24.8,24.8,24.8,26.4,26.4,26.4,25.2
2021-07-30 13:30:00,25.6,25.6,26,26,25.2,25.2,26,26,26,25.2
2021-07-30 14:00:00,24.8,24.8,24.8,24.8,24.4,24.4,24.8,24.8,24.8,24.8
2021-07-30 14:30:00,25.2,25.2,24.8,24.8,24.8,24.8,24.8,24.8,24.8,24.4
2021-07-30 15:00:00,24,24,24.8,24.8,24.8,24.8,24.8,24.8,24.8,25.2
2021-07-30 15:30:00,24,24,24.4,24.4,24,24,24.4,24.4,24.4,24
2021-07-30 16:00:00,24.8,24.8,25.2,25.2,24,24,25.2,25.2,25.2,24.8
2021-07-30 16:30:00,24.8,24.8,25.2,25.2,24.8,24.8,24.8,24.8,24.8,25.2
2021-07-30 17:00:00,23.6,23.6,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2
2021-07-30 17:30:00,24.4,24.4,24.8,24.8,25.2,25.2,25.2,25.2,25.2,24.8
2021-07-30 18:00:00,25.2,25.2,24.8,24.8,25.2,25.2,24.8,24.8,24.8,25.2
2021-07-30 18:30:00,24.8,24.8,25.2,25.2,24.8,24.8,24.8,24.8,24.8,26
2021-07-30 19:00:00,25.2,25.2,25.2,25.2,24.8,24.8,25.2,25.2,25.2,26
2021-07-30 19:30:00,24.8,24.8,25.2,25.2,24.4,24.4,25.2,25.2,25.2,24.8
2021-07-30 20:00:00,25.2,25.2,25.2,25.2,24.4,24.4,25.2,25.2,25.2,24.8
2021-07-30 20:30:00,24.8,24.8,26,26,24.4,24.4,25.2,25.2,25.2,24.8
2021-07-30 21:00:00,25.2,25.2,27.2,27.2,24.8,24.8,26.8,26.8,26.8,26
2021-07-30 21:30:00,25.2,25.2,27.2,27.2,24.8,24.8,27.2,27.2,27.2,26
2021-07-30 22:00:00,25.2,25.2,27.2,27.2,25.2,25.2,27.6,27.6,27.6,26
2021-07-30 22:30:00,25.2,25.2,27.2,27.2,25.2,25.2,27.6,27.6,27.6,25.6
2021-07-30 23:00:00,25.2,25.2,27.2,27.2,25.2,25.2,27.6,27.6,27.6,25.2
2021-07-30 23:30:00,25.2,25.2,27.2,27.2,25.2,25.2,27.6,27.6,27.6,25.2
