éûä‘,5f0ãzçûâ∑ìx,5f1ãzçûâ∑ìx,5f2ãzçûâ∑ìx,5f3ãzçûâ∑ìx,5f4ãzçûâ∑ìx,5f5ãzçûâ∑ìx,5f6ãzçûâ∑ìx,5f7ãzçûâ∑ìx,5f8ãzçûâ∑ìx,5f9ãzçûâ∑ìx
2021-01-18 00:00:00,22.4,22.4,20.8,20.8,21.7,21.7,23.6,23.6,23.6,19.6
2021-01-18 00:30:00,22.4,22.4,20.8,20.8,21.7,21.7,23.2,23.2,23.2,19.6
2021-01-18 01:00:00,22.4,22.4,20.8,20.8,21.7,21.7,23.2,23.2,23.2,19.6
2021-01-18 01:30:00,22.4,22.4,20.4,20.4,21.7,21.7,23.2,23.2,23.2,19.6
2021-01-18 02:00:00,22.4,22.4,20.4,20.4,21.7,21.7,23.2,23.2,23.2,19.6
2021-01-18 02:30:00,22.4,22.4,20.4,20.4,21.7,21.7,23.2,23.2,23.2,19.2
2021-01-18 03:00:00,22.1,22.1,20.4,20.4,21.3,21.3,23.2,23.2,23.2,19.2
2021-01-18 03:30:00,22.1,22.1,20.4,20.4,21.3,21.3,22.8,22.8,22.8,19.2
2021-01-18 04:00:00,22.1,22.1,20.4,20.4,21.3,21.3,22.8,22.8,22.8,19.2
2021-01-18 04:30:00,22.1,22.1,20,20,21.3,21.3,22.8,22.8,22.8,19.2
2021-01-18 05:00:00,22.1,22.1,20,20,21.3,21.3,22.8,22.8,22.8,19.2
2021-01-18 05:30:00,22.1,22.1,20,20,21.3,21.3,22.8,22.8,22.8,18.8
2021-01-18 06:00:00,21.7,21.7,20,20,20.9,20.9,22.8,22.8,22.8,18.8
2021-01-18 06:30:00,21.7,21.7,20,20,20.9,20.9,22.8,22.8,22.8,18.8
2021-01-18 07:00:00,21.7,21.7,20,20,20.9,20.9,22.8,22.8,22.8,18.8
2021-01-18 07:30:00,24.4,24.4,25.2,25.2,21.7,21.7,22.8,22.8,22.8,18.8
2021-01-18 08:00:00,24.4,24.4,26,26,22.1,22.1,23.2,23.2,23.2,18.8
2021-01-18 08:30:00,25.2,25.2,26.8,26.8,22.1,22.1,22.4,22.4,22.4,18.8
2021-01-18 09:00:00,25.2,25.2,26.8,26.8,22.1,22.1,22.1,22.1,22.1,19.2
2021-01-18 09:30:00,25.2,25.2,26.8,26.8,22.1,22.1,23.2,23.2,23.2,20.8
2021-01-18 10:00:00,25.6,25.6,27.2,27.2,23.6,23.6,23.6,23.6,23.6,21.2
2021-01-18 10:30:00,25.6,25.6,27.2,27.2,23.6,23.6,23.6,23.6,23.6,21.6
2021-01-18 11:00:00,26,26,27.6,27.6,24,24,24,24,24,21.6
2021-01-18 11:30:00,26.4,26.4,28.1,28.1,24.4,24.4,24,24,24,21.6
2021-01-18 12:00:00,26.4,26.4,28.1,28.1,24.4,24.4,23.6,23.6,23.6,21.2
2021-01-18 12:30:00,26.4,26.4,28.1,28.1,24.4,24.4,24,24,24,21.2
2021-01-18 13:00:00,26.8,26.8,28.5,28.5,24.8,24.8,24,24,24,21.2
2021-01-18 13:30:00,26.8,26.8,28.5,28.5,24.8,24.8,24,24,24,21.6
2021-01-18 14:00:00,27.2,27.2,28.9,28.9,25.2,25.2,24.4,24.4,24.4,21.2
2021-01-18 14:30:00,27.2,27.2,27.6,27.6,25.2,25.2,24.8,24.8,24.8,20.8
2021-01-18 15:00:00,26.4,26.4,26,26,25.2,25.2,24,24,24,21.6
2021-01-18 15:30:00,26,26,25.6,25.6,25.2,25.2,23.6,23.6,23.6,21.2
2021-01-18 16:00:00,26,26,25.6,25.6,25.2,25.2,24,24,24,21.6
2021-01-18 16:30:00,26,26,25.2,25.2,25.2,25.2,24.4,24.4,24.4,22
2021-01-18 17:00:00,26,26,25.6,25.6,25.2,25.2,23.6,23.6,23.6,21.2
2021-01-18 17:30:00,25.6,25.6,25.6,25.6,24.8,24.8,23.6,23.6,23.6,21.2
2021-01-18 18:00:00,25.6,25.6,25.2,25.2,25.2,25.2,24.4,24.4,24.4,22
2021-01-18 18:30:00,25.6,25.6,25.2,25.2,24.8,24.8,23.2,23.2,23.2,21.2
2021-01-18 19:00:00,25.6,25.6,25.2,25.2,24.8,24.8,23.6,23.6,23.6,21.6
2021-01-18 19:30:00,25.2,25.2,24.8,24.8,24.4,24.4,23.6,23.6,23.6,21.2
2021-01-18 20:00:00,25.2,25.2,25.6,25.6,24,24,23.2,23.2,23.2,21.2
2021-01-18 20:30:00,25.2,25.2,22.4,22.4,24,24,24,24,24,22.4
2021-01-18 21:00:00,24.8,24.8,22.4,22.4,24,24,24.4,24.4,24.4,21.2
2021-01-18 21:30:00,24.8,24.8,22.4,22.4,23.6,23.6,24.8,24.8,24.8,21.2
2021-01-18 22:00:00,24.4,24.4,22.4,22.4,23.6,23.6,24.8,24.8,24.8,21.2
2021-01-18 22:30:00,24.4,24.4,22.4,22.4,23.2,23.2,24.8,24.8,24.8,21.2
2021-01-18 23:00:00,24,24,22.4,22.4,23.2,23.2,25.2,25.2,25.2,20.8
2021-01-18 23:30:00,24,24,22.4,22.4,23.2,23.2,24.8,24.8,24.8,20.8
