éûä‘,4f0ãzçûâ∑ìx,4f1ãzçûâ∑ìx,4f2ãzçûâ∑ìx,4f3ãzçûâ∑ìx,4f4ãzçûâ∑ìx,4f5ãzçûâ∑ìx,4f6ãzçûâ∑ìx,4f7ãzçûâ∑ìx,4f8ãzçûâ∑ìx,4f9ãzçûâ∑ìx,äOãCâ∑
2021-01-13 00:00:00,21.7,21.7,21.5,21.5,20,20,20,20,20,20,3.1
2021-01-13 00:30:00,21.7,21.7,21.5,21.5,20,20,20,20,20,19.6,2.8
2021-01-13 01:00:00,21.7,21.7,21,21,19.6,19.6,20,20,20,19.6,2.6
2021-01-13 01:30:00,21.3,21.3,21,21,19.6,19.6,19.6,19.6,19.6,19.2,2.5
2021-01-13 02:00:00,21.3,21.3,21,21,19.2,19.2,19.6,19.6,19.6,19.2,2.2
2021-01-13 02:30:00,21.3,21.3,20.5,20.5,19.2,19.2,19.2,19.2,19.2,18.8,2
2021-01-13 03:00:00,21.3,21.3,20.5,20.5,19.2,19.2,19.2,19.2,19.2,18.8,1.9
2021-01-13 03:30:00,21.3,21.3,20.5,20.5,18.8,18.8,19.2,19.2,19.2,18.8,1.6
2021-01-13 04:00:00,20.9,20.9,20.5,20.5,18.8,18.8,18.8,18.8,18.8,18.4,1.4
2021-01-13 04:30:00,20.9,20.9,20,20,18.8,18.8,18.8,18.8,18.8,18.4,1.4
2021-01-13 05:00:00,20.9,20.9,20,20,18.4,18.4,18.8,18.8,18.8,18.4,1.6
2021-01-13 05:30:00,20.9,20.9,20,20,18.4,18.4,18.4,18.4,18.4,18.4,1.8
2021-01-13 06:00:00,20.5,20.5,20,20,18.4,18.4,18.4,18.4,18.4,18.1,1.8
2021-01-13 06:30:00,20.5,20.5,19.5,19.5,18.4,18.4,18.4,18.4,18.4,18.1,1.2
2021-01-13 07:00:00,20.5,20.5,19.5,19.5,18.1,18.1,18.4,18.4,18.4,18.1,1.5
2021-01-13 07:30:00,20.9,20.9,20,20,18.4,18.4,19.7,19.7,19.7,18.1,2.3
2021-01-13 08:00:00,21.3,21.3,20,20,21.2,21.2,24,24,24,21.6,3.6
2021-01-13 08:30:00,19.3,19.3,21,21,21.6,21.6,26.8,26.8,26.8,24.1,4.7
2021-01-13 09:00:00,18.9,18.9,21.5,21.5,20.8,20.8,25.6,25.6,25.6,24.5,8.4
2021-01-13 09:30:00,19.3,19.3,22,22,21.6,21.6,24.4,24.4,24.4,24.9,9.7
2021-01-13 10:00:00,19.7,19.7,22,22,21.6,21.6,25.6,25.6,25.6,25.3,9.6
2021-01-13 10:30:00,19.7,19.7,22.5,22.5,21.2,21.2,25.2,25.2,25.2,24.1,9.4
2021-01-13 11:00:00,20.1,20.1,22.5,22.5,21.6,21.6,25.2,25.2,25.2,23.2,9.4
2021-01-13 11:30:00,20.1,20.1,22.5,22.5,21.2,21.2,25.2,25.2,25.2,23.2,10.9
2021-01-13 12:00:00,20.5,20.5,23,23,22.4,22.4,26,26,26,23.2,13.2
2021-01-13 12:30:00,20.5,20.5,23.5,23.5,22.8,22.8,25.6,25.6,25.6,25.3,13.5
2021-01-13 13:00:00,20.9,20.9,24,24,22,22,24.8,24.8,24.8,26.1,14.4
2021-01-13 13:30:00,20.9,20.9,24,24,22,22,24.4,24.4,24.4,26.1,13.5
2021-01-13 14:00:00,21.3,21.3,24.5,24.5,22,22,25.2,25.2,25.2,26.1,13
2021-01-13 14:30:00,21.3,21.3,25,25,22.8,22.8,25.6,25.6,25.6,26.5,12.6
2021-01-13 15:00:00,21.7,21.7,25,25,22.4,22.4,25.2,25.2,25.2,26.1,12
2021-01-13 15:30:00,22.1,22.1,24.5,24.5,21.6,21.6,23.6,23.6,23.6,25.7,11.7
2021-01-13 16:00:00,22.1,22.1,24.5,24.5,21.6,21.6,24,24,24,25.3,11.3
2021-01-13 16:30:00,22.1,22.1,24.5,24.5,22.4,22.4,26.4,26.4,26.4,24.9,10.5
2021-01-13 17:00:00,22.1,22.1,24.5,24.5,22.4,22.4,26.8,26.8,26.8,24.5,9.4
2021-01-13 17:30:00,22.1,22.1,24.5,24.5,22.8,22.8,26.4,26.4,26.4,24.5,9.4
2021-01-13 18:00:00,22.1,22.1,24.5,24.5,22,22,25.6,25.6,25.6,23.6,9.3
2021-01-13 18:30:00,22.1,22.1,24.5,24.5,22,22,26,26,26,23.2,9.1
2021-01-13 19:00:00,21.7,21.7,24.5,24.5,22,22,26,26,26,22.8,8.9
2021-01-13 19:30:00,21.7,21.7,24.5,24.5,22,22,25.6,25.6,25.6,22.8,8.8
2021-01-13 20:00:00,22.4,22.4,24,24,21.6,21.6,25.6,25.6,25.6,22.8,8.7
2021-01-13 20:30:00,22.1,22.1,24,24,21.6,21.6,25.6,25.6,25.6,23.2,8.4
2021-01-13 21:00:00,21.3,21.3,24,24,21.6,21.6,22,22,22,23.2,8.1
2021-01-13 21:30:00,22.8,22.8,23.5,23.5,23.2,23.2,22.4,22.4,22.4,22.4,7.7
2021-01-13 22:00:00,22.8,22.8,23.5,23.5,23.2,23.2,22,22,22,22,7.6
2021-01-13 22:30:00,22.8,22.8,23,23,22.8,22.8,22,22,22,21.6,8
2021-01-13 23:00:00,22.8,22.8,23,23,22.8,22.8,22,22,22,21.2,7.7
2021-01-13 23:30:00,22.8,22.8,22.5,22.5,22.4,22.4,22,22,22,20.8,7.3
