éûä‘,5f0ãzçûâ∑ìx,5f1ãzçûâ∑ìx,5f2ãzçûâ∑ìx,5f3ãzçûâ∑ìx,5f4ãzçûâ∑ìx,5f5ãzçûâ∑ìx,5f6ãzçûâ∑ìx,5f7ãzçûâ∑ìx,5f8ãzçûâ∑ìx,5f9ãzçûâ∑ìx
2021-07-11 00:00:00,26,26,26.8,26.8,26,26,26.8,26.8,26.8,24.8
2021-07-11 00:30:00,26,26,26.8,26.8,26,26,26.8,26.8,26.8,24.8
2021-07-11 01:00:00,26,26,26.8,26.8,26,26,26.8,26.8,26.8,24.4
2021-07-11 01:30:00,26,26,26.8,26.8,26,26,26.8,26.8,26.8,24.8
2021-07-11 02:00:00,26,26,26.8,26.8,26.4,26.4,26.8,26.8,26.8,24.8
2021-07-11 02:30:00,26,26,26.8,26.8,26,26,26.8,26.8,26.8,24.8
2021-07-11 03:00:00,26,26,26.8,26.8,26,26,26.8,26.8,26.8,24.8
2021-07-11 03:30:00,26,26,26.8,26.8,26,26,26.8,26.8,26.8,24.4
2021-07-11 04:00:00,26,26,26.8,26.8,26,26,26.8,26.8,26.8,24.8
2021-07-11 04:30:00,26,26,26.8,26.8,26.4,26.4,26.8,26.8,26.8,24.8
2021-07-11 05:00:00,26,26,26.8,26.8,26.4,26.4,26.8,26.8,26.8,24.8
2021-07-11 05:30:00,26,26,26.8,26.8,26,26,26.8,26.8,26.8,24.8
2021-07-11 06:00:00,26.4,26.4,26.8,26.8,26.4,26.4,26.8,26.8,26.8,24.4
2021-07-11 06:30:00,26,26,26.8,26.8,26.4,26.4,27.2,27.2,27.2,24.8
2021-07-11 07:00:00,26,26,26.8,26.8,26.4,26.4,26.8,26.8,26.8,24.8
2021-07-11 07:30:00,26,26,26.8,26.8,26.4,26.4,27.2,27.2,27.2,24.8
2021-07-11 08:00:00,26,26,26.8,26.8,26.4,26.4,27.2,27.2,27.2,24.8
2021-07-11 08:30:00,26.4,26.4,26.8,26.8,26.4,26.4,27.2,27.2,27.2,24.8
2021-07-11 09:00:00,26.4,26.4,26.8,26.8,26,26,27.2,27.2,27.2,24.8
2021-07-11 09:30:00,26.4,26.4,26.8,26.8,25.6,25.6,27.2,27.2,27.2,25.2
2021-07-11 10:00:00,26.4,26.4,27.2,27.2,26,26,27.2,27.2,27.2,25.2
2021-07-11 10:30:00,26.4,26.4,27.2,27.2,26.4,26.4,27.2,27.2,27.2,25.2
2021-07-11 11:00:00,26.4,26.4,27.2,27.2,26.4,26.4,27.6,27.6,27.6,25.2
2021-07-11 11:30:00,26.4,26.4,27.2,27.2,26,26,27.6,27.6,27.6,25.2
2021-07-11 12:00:00,26.4,26.4,27.2,27.2,25.6,25.6,27.6,27.6,27.6,25.6
2021-07-11 12:30:00,26.4,26.4,27.6,27.6,25.6,25.6,28.1,28.1,28.1,25.6
2021-07-11 13:00:00,26.4,26.4,27.6,27.6,25.6,25.6,28.1,28.1,28.1,25.6
2021-07-11 13:30:00,26.4,26.4,27.6,27.6,26,26,28.1,28.1,28.1,25.6
2021-07-11 14:00:00,26.8,26.8,27.6,27.6,26,26,28.5,28.5,28.5,26
2021-07-11 14:30:00,26.8,26.8,27.6,27.6,26,26,28.5,28.5,28.5,26
2021-07-11 15:00:00,26.8,26.8,27.6,27.6,26,26,28.5,28.5,28.5,26
2021-07-11 15:30:00,26.8,26.8,27.6,27.6,26,26,28.5,28.5,28.5,26
2021-07-11 16:00:00,26.8,26.8,27.6,27.6,26,26,28.5,28.5,28.5,26
2021-07-11 16:30:00,26.8,26.8,27.2,27.2,25.6,25.6,28.5,28.5,28.5,26
2021-07-11 17:00:00,26.4,26.4,27.2,27.2,25.6,25.6,27.6,27.6,27.6,25.2
2021-07-11 17:30:00,26.4,26.4,26.8,26.8,26,26,27.2,27.2,27.2,25.2
2021-07-11 18:00:00,26.4,26.4,26.8,26.8,26,26,26.8,26.8,26.8,24.8
2021-07-11 18:30:00,26.4,26.4,26.8,26.8,26,26,26.8,26.8,26.8,24.8
2021-07-11 19:00:00,26.4,26.4,26.8,26.8,26.4,26.4,26.8,26.8,26.8,24.8
2021-07-11 19:30:00,26.4,26.4,26.8,26.8,26.4,26.4,27.2,27.2,27.2,24.8
2021-07-11 20:00:00,26.4,26.4,26.8,26.8,26.4,26.4,27.2,27.2,27.2,24.8
2021-07-11 20:30:00,26.4,26.4,26.8,26.8,26.4,26.4,27.2,27.2,27.2,24.8
2021-07-11 21:00:00,26.4,26.4,26.8,26.8,26.4,26.4,27.2,27.2,27.2,24.8
2021-07-11 21:30:00,26.4,26.4,26.8,26.8,26,26,27.2,27.2,27.2,24.8
2021-07-11 22:00:00,26.4,26.4,26.8,26.8,26,26,27.2,27.2,27.2,24.8
2021-07-11 22:30:00,26.4,26.4,26.8,26.8,26,26,27.2,27.2,27.2,24.8
2021-07-11 23:00:00,26.4,26.4,26.8,26.8,26,26,27.2,27.2,27.2,24.8
2021-07-11 23:30:00,26.4,26.4,26.8,26.8,26,26,27.6,27.6,27.6,24.8
