éûä‘,4f0ãzçûâ∑ìx,4f1ãzçûâ∑ìx,4f2ãzçûâ∑ìx,4f3ãzçûâ∑ìx,4f4ãzçûâ∑ìx,4f5ãzçûâ∑ìx,4f6ãzçûâ∑ìx,4f7ãzçûâ∑ìx,4f8ãzçûâ∑ìx,4f9ãzçûâ∑ìx,äOãCâ∑
2021-01-07 00:00:00,23.6,23.6,22.5,22.5,22.4,22.4,22,22,22,20.4,4.9
2021-01-07 00:30:00,23.2,23.2,22.5,22.5,22,22,22,22,22,20.4,4.8
2021-01-07 01:00:00,23.2,23.2,22.5,22.5,22,22,22,22,22,20,4.6
2021-01-07 01:30:00,23.2,23.2,22,22,21.6,21.6,21.6,21.6,21.6,20,4.5
2021-01-07 02:00:00,23.2,23.2,22,22,21.6,21.6,21.6,21.6,21.6,20,4.3
2021-01-07 02:30:00,22.8,22.8,22,22,21.6,21.6,21.2,21.2,21.2,20,4.4
2021-01-07 03:00:00,22.8,22.8,21.5,21.5,21.6,21.6,21.2,21.2,21.2,19.6,4.1
2021-01-07 03:30:00,22.8,22.8,21.5,21.5,21.6,21.6,20.8,20.8,20.8,19.6,4
2021-01-07 04:00:00,22.4,22.4,21.5,21.5,21.6,21.6,20.8,20.8,20.8,19.6,4
2021-01-07 04:30:00,22.4,22.4,21.5,21.5,21.6,21.6,20.8,20.8,20.8,19.6,3.9
2021-01-07 05:00:00,22.4,22.4,21.5,21.5,20,20,20.4,20.4,20.4,19.6,3.8
2021-01-07 05:30:00,22.4,22.4,21.5,21.5,20,20,20.4,20.4,20.4,19.6,3.6
2021-01-07 06:00:00,22.4,22.4,21,21,20,20,20.4,20.4,20.4,19.2,3.5
2021-01-07 06:30:00,22.1,22.1,21,21,19.6,19.6,20,20,20,19.2,3.7
2021-01-07 07:00:00,22.1,22.1,21,21,19.6,19.6,20,20,20,19.2,3.9
2021-01-07 07:30:00,22.4,22.4,21,21,20,20,20,20,20,19.2,3.9
2021-01-07 08:00:00,22.1,22.1,25.5,25.5,21.6,21.6,23.6,23.6,23.6,20.4,4
2021-01-07 08:30:00,21.7,21.7,25.5,25.5,21.6,21.6,22.8,22.8,22.8,22.4,4.6
2021-01-07 09:00:00,22.1,22.1,26,26,21.6,21.6,23.2,23.2,23.2,23.2,7.3
2021-01-07 09:30:00,22.8,22.8,26,26,21.6,21.6,24,24,24,22.4,9.4
2021-01-07 10:00:00,23.2,23.2,26.5,26.5,21.6,21.6,22.8,22.8,22.8,20.8,8.5
2021-01-07 10:30:00,23.6,23.6,26.5,26.5,22.4,22.4,25.2,25.2,25.2,22,10.1
2021-01-07 11:00:00,24,24,26.5,26.5,21.6,21.6,24,24,24,22,10.7
2021-01-07 11:30:00,24,24,27.5,27.5,21.6,21.6,24,24,24,22,11.7
2021-01-07 12:00:00,24.4,24.4,27.5,27.5,21.6,21.6,24,24,24,22.4,11.8
2021-01-07 12:30:00,24.4,24.4,27.5,27.5,22,22,24.8,24.8,24.8,22.8,11.3
2021-01-07 13:00:00,24.8,24.8,28,28,22,22,24.8,24.8,24.8,22.8,11.3
2021-01-07 13:30:00,24.8,24.8,28,28,22,22,24.4,24.4,24.4,22.8,12.1
2021-01-07 14:00:00,24.8,24.8,28,28,22,22,24,24,24,22.4,11.5
2021-01-07 14:30:00,25.2,25.2,28,28,21.6,21.6,24,24,24,22.4,10.8
2021-01-07 15:00:00,25.2,25.2,28.5,28.5,21.6,21.6,24,24,24,22,10.4
2021-01-07 15:30:00,25.6,25.6,28,28,22,22,24.4,24.4,24.4,22.4,10.3
2021-01-07 16:00:00,25.6,25.6,28.5,28.5,22,22,24,24,24,22.8,9.7
2021-01-07 16:30:00,25.2,25.2,28.5,28.5,22,22,24.8,24.8,24.8,26.1,9
2021-01-07 17:00:00,25.2,25.2,28.5,28.5,22,22,24.8,24.8,24.8,26.5,8.6
2021-01-07 17:30:00,25.2,25.2,28.5,28.5,22,22,24,24,24,26.5,8.3
2021-01-07 18:00:00,24.8,24.8,28,28,22,22,24,24,24,26.5,8.3
2021-01-07 18:30:00,24.8,24.8,28,28,22,22,24.8,24.8,24.8,26.1,8
2021-01-07 19:00:00,24.8,24.8,28.5,28.5,21.6,21.6,24,24,24,26.1,6.9
2021-01-07 19:30:00,24.8,24.8,28.5,28.5,21.6,21.6,23.6,23.6,23.6,25.7,6
2021-01-07 20:00:00,24.4,24.4,28,28,22.4,22.4,24.8,24.8,24.8,25.7,5.5
2021-01-07 20:30:00,24,24,28,28,21.6,21.6,23.6,23.6,23.6,26.1,5.2
2021-01-07 21:00:00,24,24,28,28,22,22,24.4,24.4,24.4,26.1,4.9
2021-01-07 21:30:00,23.6,23.6,28,28,22,22,24.4,24.4,24.4,26.1,4.5
2021-01-07 22:00:00,23.6,23.6,28,28,21.6,21.6,23.6,23.6,23.6,26.1,4.3
2021-01-07 22:30:00,23.2,23.2,23.5,23.5,22.8,22.8,21.6,21.6,21.6,25.3,4
2021-01-07 23:00:00,23.2,23.2,23.5,23.5,23.2,23.2,21.6,21.6,21.6,24.1,3.8
2021-01-07 23:30:00,23.2,23.2,23,23,23.2,23.2,22,22,22,22.8,3.6
