éûä‘,5f0ãzçûâ∑ìx,5f1ãzçûâ∑ìx,5f2ãzçûâ∑ìx,5f3ãzçûâ∑ìx,5f4ãzçûâ∑ìx,5f5ãzçûâ∑ìx,5f6ãzçûâ∑ìx,5f7ãzçûâ∑ìx,5f8ãzçûâ∑ìx,5f9ãzçûâ∑ìx
2021-01-07 00:00:00,24,24,22.4,22.4,22.4,22.4,19.2,19.2,19.2,20.4
2021-01-07 00:30:00,24,24,22.4,22.4,22.4,22.4,19.2,19.2,19.2,20.4
2021-01-07 01:00:00,23.6,23.6,22.4,22.4,22.4,22.4,19.6,19.6,19.6,20.4
2021-01-07 01:30:00,23.6,23.6,22,22,22.1,22.1,19.6,19.6,19.6,20.4
2021-01-07 02:00:00,23.6,23.6,22,22,22.1,22.1,19.2,19.2,19.2,20
2021-01-07 02:30:00,23.6,23.6,22,22,22.1,22.1,19.2,19.2,19.2,20
2021-01-07 03:00:00,23.6,23.6,22,22,22.1,22.1,19.2,19.2,19.2,20
2021-01-07 03:30:00,23.6,23.6,21.6,21.6,22.1,22.1,19.2,19.2,19.2,20
2021-01-07 04:00:00,23.6,23.6,21.6,21.6,22.1,22.1,19.2,19.2,19.2,20
2021-01-07 04:30:00,23.2,23.2,21.6,21.6,22.1,22.1,19.2,19.2,19.2,19.6
2021-01-07 05:00:00,23.2,23.2,21.6,21.6,22.1,22.1,19.2,19.2,19.2,19.6
2021-01-07 05:30:00,23.2,23.2,21.2,21.2,21.7,21.7,19.2,19.2,19.2,19.6
2021-01-07 06:00:00,23.2,23.2,21.6,21.6,21.7,21.7,19.2,19.2,19.2,19.6
2021-01-07 06:30:00,23.2,23.2,21.2,21.2,21.7,21.7,19.2,19.2,19.2,19.6
2021-01-07 07:00:00,23.2,23.2,21.2,21.2,21.7,21.7,19.2,19.2,19.2,19.6
2021-01-07 07:30:00,24,24,25.6,25.6,21.3,21.3,18.4,18.4,18.4,19.6
2021-01-07 08:00:00,25.6,25.6,27.2,27.2,21.7,21.7,17.7,17.7,17.7,19.6
2021-01-07 08:30:00,26,26,27.6,27.6,22.1,22.1,17.7,17.7,17.7,19.6
2021-01-07 09:00:00,26.4,26.4,28.1,28.1,22.1,22.1,17.7,17.7,17.7,19.6
2021-01-07 09:30:00,26.8,26.8,28.5,28.5,24.4,24.4,25.2,25.2,25.2,21.6
2021-01-07 10:00:00,27.6,27.6,28.5,28.5,25.6,25.6,27.2,27.2,27.2,23.2
2021-01-07 10:30:00,26,26,26.4,26.4,25.6,25.6,26.8,26.8,26.8,22
2021-01-07 11:00:00,26,26,26,26,25.2,25.2,25.6,25.6,25.6,22.4
2021-01-07 11:30:00,27.2,27.2,28.9,28.9,26,26,26.8,26.8,26.8,29.3
2021-01-07 12:00:00,27.2,27.2,28.5,28.5,25.6,25.6,25.6,25.6,25.6,29.3
2021-01-07 12:30:00,26.8,26.8,28.1,28.1,26,26,26.8,26.8,26.8,29.3
2021-01-07 13:00:00,26.8,26.8,26.8,26.8,26,26,26,26,26,29.3
2021-01-07 13:30:00,26.4,26.4,26.4,26.4,26,26,26.8,26.8,26.8,26.8
2021-01-07 14:00:00,26.4,26.4,26.4,26.4,26,26,26.4,26.4,26.4,26.4
2021-01-07 14:30:00,26.4,26.4,27.2,27.2,26.4,26.4,26.4,26.4,26.4,27.2
2021-01-07 15:00:00,26.4,26.4,26,26,26,26,24.8,24.8,24.8,26
2021-01-07 15:30:00,26.4,26.4,26.8,26.8,25.6,25.6,24.4,24.4,24.4,26
2021-01-07 16:00:00,26.4,26.4,27.2,27.2,25.6,25.6,24.4,24.4,24.4,24.8
2021-01-07 16:30:00,26.8,26.8,27.2,27.2,25.6,25.6,24.4,24.4,24.4,25.6
2021-01-07 17:00:00,26.8,26.8,27.2,27.2,25.6,25.6,24,24,24,25.6
2021-01-07 17:30:00,26.8,26.8,26.8,26.8,25.6,25.6,24,24,24,25.2
2021-01-07 18:00:00,26.8,26.8,27.2,27.2,25.2,25.2,24,24,24,25.2
2021-01-07 18:30:00,26.8,26.8,26.8,26.8,25.2,25.2,23.6,23.6,23.6,25.2
2021-01-07 19:00:00,26.8,26.8,26.8,26.8,25.2,25.2,23.6,23.6,23.6,24.8
2021-01-07 19:30:00,26.8,26.8,27.6,27.6,24.8,24.8,23.6,23.6,23.6,24.8
2021-01-07 20:00:00,26.4,26.4,26.8,26.8,24.8,24.8,23.2,23.2,23.2,24.8
2021-01-07 20:30:00,26.4,26.4,27.6,27.6,24.4,24.4,23.2,23.2,23.2,26
2021-01-07 21:00:00,26.8,26.8,27.6,27.6,24.4,24.4,22.8,22.8,22.8,26
2021-01-07 21:30:00,26.4,26.4,24.5,24.5,24.4,24.4,24.8,24.8,24.8,26
2021-01-07 22:00:00,25.6,25.6,24.5,24.5,24,24,25.6,25.6,25.6,25.6
2021-01-07 22:30:00,25.6,25.6,24.5,24.5,24,24,26,26,26,25.2
2021-01-07 23:00:00,25.2,25.2,24.1,24.1,23.6,23.6,26,26,26,25.2
2021-01-07 23:30:00,25.2,25.2,24.1,24.1,23.6,23.6,25.6,25.6,25.6,24.8
