éûä‘,4f0ê›íËâ∑ìx,4f0â^ì]ÉÇÅ[Éh,4f0ïóë¨,4f0ãzçûâ∑ìx,4f1ê›íËâ∑ìx,4f1â^ì]ÉÇÅ[Éh,4f1ïóë¨,4f1ãzçûâ∑ìx,4f2ê›íËâ∑ìx,4f2â^ì]ÉÇÅ[Éh,4f2ïóë¨,4f2ãzçûâ∑ìx,4f3ê›íËâ∑ìx,4f3â^ì]ÉÇÅ[Éh,4f3ïóë¨,4f3ãzçûâ∑ìx,4f4ê›íËâ∑ìx,4f4â^ì]ÉÇÅ[Éh,4f4ïóë¨,4f4ãzçûâ∑ìx,4f5ê›íËâ∑ìx,4f5â^ì]ÉÇÅ[Éh,4f5ïóë¨,4f5ãzçûâ∑ìx,4f6ê›íËâ∑ìx,4f6â^ì]ÉÇÅ[Éh,4f6ïóë¨,4f6ãzçûâ∑ìx,4f7ê›íËâ∑ìx,4f7â^ì]ÉÇÅ[Éh,4f7ïóë¨,4f7ãzçûâ∑ìx,4f8ê›íËâ∑ìx,4f8â^ì]ÉÇÅ[Éh,4f8ïóë¨,4f8ãzçûâ∑ìx,4f9ê›íËâ∑ìx,4f9â^ì]ÉÇÅ[Éh,4f9ïóë¨,4f9ãzçûâ∑ìx,äOãCâ∑
2020-12-14 00:00:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.4,8.4
2020-12-14 00:01:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.4,8.4
2020-12-14 00:02:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.4,8.4
2020-12-14 00:03:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.4,8.4
2020-12-14 00:04:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.4,8.4
2020-12-14 00:05:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.4,8.5
2020-12-14 00:06:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.4,8.5
2020-12-14 00:07:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.4,8.5
2020-12-14 00:08:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.4,8.5
2020-12-14 00:09:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.4,8.5
2020-12-14 00:10:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.4,8.4
2020-12-14 00:11:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.4,8.5
2020-12-14 00:12:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.4,8.5
2020-12-14 00:13:00,28,0.0,3,21.967,28,0.0,3,21.967,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.4,8.4
2020-12-14 00:14:00,28,0.0,3,21.834,28,0.0,3,21.834,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.4,8.4
2020-12-14 00:15:00,28,0.0,3,21.7,28,0.0,3,21.7,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.4,8.4
2020-12-14 00:16:00,28,0.0,3,21.833,28,0.0,3,21.833,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.4,8.4
2020-12-14 00:17:00,28,0.0,3,21.966,28,0.0,3,21.966,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.4,8.4
2020-12-14 00:18:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.4,8.4
2020-12-14 00:19:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.4,8.4
2020-12-14 00:20:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.4,8.4
2020-12-14 00:21:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.4,8.4
2020-12-14 00:22:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.4,8.3
2020-12-14 00:23:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.4,8.3
2020-12-14 00:24:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.4,8.3
2020-12-14 00:25:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.267,8.3
2020-12-14 00:26:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.134,8.3
2020-12-14 00:27:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20,8.3
2020-12-14 00:28:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.133,8.2
2020-12-14 00:29:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.266,8.2
2020-12-14 00:30:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.4,8.2
2020-12-14 00:31:00,28,0.0,3,21.967,28,0.0,3,21.967,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.267,8.2
2020-12-14 00:32:00,28,0.0,3,21.834,28,0.0,3,21.834,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.134,8.2
2020-12-14 00:33:00,28,0.0,3,21.7,28,0.0,3,21.7,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20,8.2
2020-12-14 00:34:00,28,0.0,3,21.833,28,0.0,3,21.833,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.133,8.1
2020-12-14 00:35:00,28,0.0,3,21.966,28,0.0,3,21.966,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.266,8.1
2020-12-14 00:36:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.4,8.1
2020-12-14 00:37:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.4,8.1
2020-12-14 00:38:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.4,8.1
2020-12-14 00:39:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.4,8.1
2020-12-14 00:40:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.267,8.1
2020-12-14 00:41:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.134,8
2020-12-14 00:42:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20,8
2020-12-14 00:43:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20,8
2020-12-14 00:44:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20,8
2020-12-14 00:45:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20,8
2020-12-14 00:46:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20,8
2020-12-14 00:47:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20,8
2020-12-14 00:48:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20,8
2020-12-14 00:49:00,28,0.0,3,21.967,28,0.0,3,21.967,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20,7.9
2020-12-14 00:50:00,28,0.0,3,21.834,28,0.0,3,21.834,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20,7.9
2020-12-14 00:51:00,28,0.0,3,21.7,28,0.0,3,21.7,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20,7.9
2020-12-14 00:52:00,28,0.0,3,21.833,28,0.0,3,21.833,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.133,7.9
2020-12-14 00:53:00,28,0.0,3,21.966,28,0.0,3,21.966,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.266,7.9
2020-12-14 00:54:00,28,0.0,3,22.1,28,0.0,3,22.1,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.4,7.9
2020-12-14 00:55:00,28,0.0,3,21.967,28,0.0,3,21.967,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.267,7.9
2020-12-14 00:56:00,28,0.0,3,21.834,28,0.0,3,21.834,22,0,3,21,22,0,3,21,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,17,0,3,19.6,22,0,3,20.134,7.9
