éûä‘,5f0ãzçûâ∑ìx,5f1ãzçûâ∑ìx,5f2ãzçûâ∑ìx,5f3ãzçûâ∑ìx,5f4ãzçûâ∑ìx,5f5ãzçûâ∑ìx,5f6ãzçûâ∑ìx,5f7ãzçûâ∑ìx,5f8ãzçûâ∑ìx,5f9ãzçûâ∑ìx
2021-07-25 00:00:00,27.2,27.2,27.6,27.6,27.2,27.2,28.5,28.5,28.5,25.6
2021-07-25 00:30:00,27.2,27.2,27.6,27.6,27.2,27.2,28.5,28.5,28.5,25.6
2021-07-25 01:00:00,27.2,27.2,27.6,27.6,27.2,27.2,28.5,28.5,28.5,25.6
2021-07-25 01:30:00,27.2,27.2,27.6,27.6,26.8,26.8,28.5,28.5,28.5,25.6
2021-07-25 02:00:00,27.2,27.2,27.6,27.6,26.8,26.8,28.5,28.5,28.5,25.6
2021-07-25 02:30:00,27.2,27.2,27.6,27.6,26.8,26.8,28.5,28.5,28.5,25.2
2021-07-25 03:00:00,27.2,27.2,27.6,27.6,26.8,26.8,28.5,28.5,28.5,25.2
2021-07-25 03:30:00,27.2,27.2,27.6,27.6,26.8,26.8,28.5,28.5,28.5,25.2
2021-07-25 04:00:00,27.2,27.2,27.6,27.6,26.8,26.8,28.5,28.5,28.5,25.6
2021-07-25 04:30:00,27.2,27.2,27.6,27.6,26.8,26.8,28.1,28.1,28.1,25.6
2021-07-25 05:00:00,27.2,27.2,27.6,27.6,26.8,26.8,28.1,28.1,28.1,25.2
2021-07-25 05:30:00,27.2,27.2,27.6,27.6,26.8,26.8,28.1,28.1,28.1,25.2
2021-07-25 06:00:00,27.2,27.2,27.6,27.6,26.8,26.8,28.1,28.1,28.1,25.2
2021-07-25 06:30:00,27.2,27.2,27.6,27.6,26.8,26.8,28.5,28.5,28.5,25.2
2021-07-25 07:00:00,27.2,27.2,27.6,27.6,26.8,26.8,28.5,28.5,28.5,25.2
2021-07-25 07:30:00,27.2,27.2,27.6,27.6,26.8,26.8,28.5,28.5,28.5,25.2
2021-07-25 08:00:00,27.2,27.2,28.1,28.1,27.2,27.2,28.5,28.5,28.5,25.6
2021-07-25 08:30:00,27.2,27.2,28.1,28.1,25.6,25.6,26,26,26,24.8
2021-07-25 09:00:00,26.8,26.8,27.6,27.6,24,24,24.4,24.4,24.4,24.8
2021-07-25 09:30:00,26.8,26.8,27.6,27.6,23.6,23.6,23.6,23.6,23.6,24.8
2021-07-25 10:00:00,26.4,26.4,27.2,27.2,23.2,23.2,23.2,23.2,23.2,24.8
2021-07-25 10:30:00,26.4,26.4,27.2,27.2,22.8,22.8,23.2,23.2,23.2,24.8
2021-07-25 11:00:00,26.4,26.4,27.2,27.2,22.8,22.8,23.2,23.2,23.2,24.8
2021-07-25 11:30:00,26,26,27.2,27.2,22.8,22.8,23.2,23.2,23.2,24.8
2021-07-25 12:00:00,26,26,27.2,27.2,22.8,22.8,22.8,22.8,22.8,24.8
2021-07-25 12:30:00,26,26,26.8,26.8,22.8,22.8,22.8,22.8,22.8,24.8
2021-07-25 13:00:00,26,26,26.8,26.8,23.2,23.2,23.2,23.2,23.2,24.8
2021-07-25 13:30:00,26,26,26.8,26.8,24.8,24.8,25.6,25.6,25.6,25.2
2021-07-25 14:00:00,26.4,26.4,26.8,26.8,26,26,26.8,26.8,26.8,25.6
2021-07-25 14:30:00,26.8,26.8,26.8,26.8,26.4,26.4,27.6,27.6,27.6,25.6
2021-07-25 15:00:00,26.8,26.8,27.2,27.2,26.8,26.8,28.1,28.1,28.1,25.6
2021-07-25 15:30:00,27.2,27.2,27.2,27.2,27.2,27.2,28.5,28.5,28.5,25.6
2021-07-25 16:00:00,27.6,27.6,27.2,27.2,27.6,27.6,28.5,28.5,28.5,25.6
2021-07-25 16:30:00,27.6,27.6,27.2,27.2,28.1,28.1,28.5,28.5,28.5,25.6
2021-07-25 17:00:00,28.1,28.1,27.6,27.6,28.1,28.1,28.9,28.9,28.9,25.6
2021-07-25 17:30:00,28.1,28.1,27.6,27.6,28.5,28.5,28.5,28.5,28.5,25.6
2021-07-25 18:00:00,28.1,28.1,27.6,27.6,28.5,28.5,28.9,28.9,28.9,25.6
2021-07-25 18:30:00,28.1,28.1,27.6,27.6,28.1,28.1,28.5,28.5,28.5,25.6
2021-07-25 19:00:00,27.6,27.6,27.6,27.6,28.1,28.1,28.5,28.5,28.5,25.6
2021-07-25 19:30:00,27.6,27.6,27.6,27.6,27.6,27.6,28.5,28.5,28.5,25.6
2021-07-25 20:00:00,27.6,27.6,27.6,27.6,27.6,27.6,28.5,28.5,28.5,25.6
2021-07-25 20:30:00,27.2,27.2,27.6,27.6,27.2,27.2,28.5,28.5,28.5,25.6
2021-07-25 21:00:00,27.2,27.2,27.6,27.6,27.2,27.2,28.5,28.5,28.5,25.2
2021-07-25 21:30:00,27.2,27.2,27.6,27.6,27.2,27.2,28.5,28.5,28.5,25.2
2021-07-25 22:00:00,27.2,27.2,27.6,27.6,27.2,27.2,28.5,28.5,28.5,25.2
2021-07-25 22:30:00,27.2,27.2,27.6,27.6,27.2,27.2,28.5,28.5,28.5,25.2
2021-07-25 23:00:00,27.2,27.2,27.6,27.6,26.8,26.8,28.1,28.1,28.1,25.2
2021-07-25 23:30:00,27.2,27.2,27.6,27.6,26.8,26.8,28.1,28.1,28.1,25.2
