éûä‘,5f0ê›íËâ∑ìx,5f0â^ì]ÉÇÅ[Éh,5f0ïóë¨,5f0ãzçûâ∑ìx,5f1ê›íËâ∑ìx,5f1â^ì]ÉÇÅ[Éh,5f1ïóë¨,5f1ãzçûâ∑ìx,5f2ê›íËâ∑ìx,5f2â^ì]ÉÇÅ[Éh,5f2ïóë¨,5f2ãzçûâ∑ìx,5f3ê›íËâ∑ìx,5f3â^ì]ÉÇÅ[Éh,5f3ïóë¨,5f3ãzçûâ∑ìx,5f4ê›íËâ∑ìx,5f4â^ì]ÉÇÅ[Éh,5f4ïóë¨,5f4ãzçûâ∑ìx,5f5ê›íËâ∑ìx,5f5â^ì]ÉÇÅ[Éh,5f5ïóë¨,5f5ãzçûâ∑ìx,5f6ê›íËâ∑ìx,5f6â^ì]ÉÇÅ[Éh,5f6ïóë¨,5f6ãzçûâ∑ìx,5f7ê›íËâ∑ìx,5f7â^ì]ÉÇÅ[Éh,5f7ïóë¨,5f7ãzçûâ∑ìx,5f8ê›íËâ∑ìx,5f8â^ì]ÉÇÅ[Éh,5f8ïóë¨,5f8ãzçûâ∑ìx,5f9ê›íËâ∑ìx,5f9â^ì]ÉÇÅ[Éh,5f9ïóë¨,5f9ãzçûâ∑ìx,5ãCâ∑
2021-01-15 00:00:00,22,0,3,24.4,22,0,3,24.4,22,0,3,22.8,22,0,3,22.8,23,0,1,23.6,23,0,1,23.6,23,0,1,25.6,23,0,1,25.6,23,0,1,25.6,22,0,1,20.8,7.9
2021-01-15 00:01:00,22,0,3,24.4,22,0,3,24.4,22,0,3,22.8,22,0,3,22.8,23,0,1,23.6,23,0,1,23.6,23,0,1,25.6,23,0,1,25.6,23,0,1,25.6,22,0,1,20.8,7.9
2021-01-15 00:02:00,22,0,3,24.4,22,0,3,24.4,22,0,3,22.8,22,0,3,22.8,23,0,1,23.6,23,0,1,23.6,23,0,1,25.6,23,0,1,25.6,23,0,1,25.6,22,0,1,20.8,7.9
2021-01-15 00:03:00,22,0,3,24.4,22,0,3,24.4,22,0,3,22.8,22,0,3,22.8,23,0,1,23.6,23,0,1,23.6,23,0,1,25.6,23,0,1,25.6,23,0,1,25.6,22,0,1,20.8,7.8
2021-01-15 00:04:00,22,0,3,24.4,22,0,3,24.4,22,0,3,22.8,22,0,3,22.8,23,0,1,23.6,23,0,1,23.6,23,0,1,25.6,23,0,1,25.6,23,0,1,25.6,22,0,1,20.8,7.8
2021-01-15 00:05:00,22,0,3,24.4,22,0,3,24.4,22,0,3,22.8,22,0,3,22.8,23,0,1,23.6,23,0,1,23.6,23,0,1,25.6,23,0,1,25.6,23,0,1,25.6,22,0,1,20.8,7.8
2021-01-15 00:06:00,22,0,3,24.4,22,0,3,24.4,22,0,3,22.8,22,0,3,22.8,23,0,1,23.6,23,0,1,23.6,23,0,1,25.6,23,0,1,25.6,23,0,1,25.6,22,0,1,20.8,7.8
2021-01-15 00:07:00,22,0,3,24.4,22,0,3,24.4,22,0,3,22.8,22,0,3,22.8,23,0,1,23.6,23,0,1,23.6,23,0,1,25.6,23,0,1,25.6,23,0,1,25.6,22,0,1,20.8,7.8
2021-01-15 00:08:00,22,0,3,24.4,22,0,3,24.4,22,0,3,22.8,22,0,3,22.8,23,0,1,23.6,23,0,1,23.6,23,0,1,25.6,23,0,1,25.6,23,0,1,25.6,22,0,1,20.8,7.8
2021-01-15 00:09:00,22,0,3,24.4,22,0,3,24.4,22,0,3,22.8,22,0,3,22.8,23,0,1,23.6,23,0,1,23.6,23,0,1,25.6,23,0,1,25.6,23,0,1,25.6,22,0,1,20.8,7.8
2021-01-15 00:10:00,22,0,3,24.4,22,0,3,24.4,22,0,3,22.8,22,0,3,22.8,23,0,1,23.6,23,0,1,23.6,23,0,1,25.6,23,0,1,25.6,23,0,1,25.6,22,0,1,20.8,7.7
2021-01-15 00:11:00,22,0,3,24.4,22,0,3,24.4,22,0,3,22.8,22,0,3,22.8,23,0,1,23.6,23,0,1,23.6,23,0,1,25.6,23,0,1,25.6,23,0,1,25.6,22,0,1,20.8,7.7
2021-01-15 00:12:00,22,0,3,24.4,22,0,3,24.4,22,0,3,22.8,22,0,3,22.8,23,0,1,23.6,23,0,1,23.6,23,0,1,25.6,23,0,1,25.6,23,0,1,25.6,22,0,1,20.8,7.8
2021-01-15 00:13:00,22,0,3,24.4,22,0,3,24.4,22,0,3,22.8,22,0,3,22.8,23,0,1,23.6,23,0,1,23.6,23,0,1,25.6,23,0,1,25.6,23,0,1,25.6,22,0,1,20.8,7.8
2021-01-15 00:14:00,22,0,3,24.4,22,0,3,24.4,22,0,3,22.8,22,0,3,22.8,23,0,1,23.6,23,0,1,23.6,23,0,1,25.6,23,0,1,25.6,23,0,1,25.6,22,0,1,20.8,7.7
2021-01-15 00:15:00,22,0,3,24.4,22,0,3,24.4,22,0,3,22.8,22,0,3,22.8,23,0,1,23.6,23,0,1,23.6,23,0,1,25.6,23,0,1,25.6,23,0,1,25.6,22,0,1,20.8,7.7
2021-01-15 00:16:00,22,0,3,24.4,22,0,3,24.4,22,0,3,22.8,22,0,3,22.8,23,0,1,23.6,23,0,1,23.6,23,0,1,25.6,23,0,1,25.6,23,0,1,25.6,22,0,1,20.8,7.7
2021-01-15 00:17:00,22,0,3,24.4,22,0,3,24.4,22,0,3,22.8,22,0,3,22.8,23,0,1,23.6,23,0,1,23.6,23,0,1,25.6,23,0,1,25.6,23,0,1,25.6,22,0,1,20.8,7.7
2021-01-15 00:18:00,22,0,3,24.4,22,0,3,24.4,22,0,3,22.8,22,0,3,22.8,23,0,1,23.6,23,0,1,23.6,23,0,1,25.6,23,0,1,25.6,23,0,1,25.6,22,0,1,20.8,7.7
2021-01-15 00:19:00,22,0,3,24.4,22,0,3,24.4,22,0,3,22.8,22,0,3,22.8,23,0,1,23.6,23,0,1,23.6,23,0,1,25.6,23,0,1,25.6,23,0,1,25.6,22,0,1,20.8,7.7
2021-01-15 00:20:00,22,0,3,24.4,22,0,3,24.4,22,0,3,22.8,22,0,3,22.8,23,0,1,23.6,23,0,1,23.6,23,0,1,25.6,23,0,1,25.6,23,0,1,25.6,22,0,1,20.8,7.7
2021-01-15 00:21:00,22,0,3,24.4,22,0,3,24.4,22,0,3,22.8,22,0,3,22.8,23,0,1,23.6,23,0,1,23.6,23,0,1,25.6,23,0,1,25.6,23,0,1,25.6,22,0,1,20.8,7.7
2021-01-15 00:22:00,22,0,3,24.4,22,0,3,24.4,22,0,3,22.8,22,0,3,22.8,23,0,1,23.6,23,0,1,23.6,23,0,1,25.6,23,0,1,25.6,23,0,1,25.6,22,0,1,20.8,7.7
2021-01-15 00:23:00,22,0,3,24.4,22,0,3,24.4,22,0,3,22.8,22,0,3,22.8,23,0,1,23.6,23,0,1,23.6,23,0,1,25.6,23,0,1,25.6,23,0,1,25.6,22,0,1,20.8,7.7
