éûä‘,4f0ãzçûâ∑ìx,4f1ãzçûâ∑ìx,4f2ãzçûâ∑ìx,4f3ãzçûâ∑ìx,4f4ãzçûâ∑ìx,4f5ãzçûâ∑ìx,4f6ãzçûâ∑ìx,4f7ãzçûâ∑ìx,4f8ãzçûâ∑ìx,4f9ãzçûâ∑ìx,äOãCâ∑
2021-01-15 00:00:00,23.2,23.2,23.5,23.5,22.4,22.4,22.8,22.8,22.8,22,7.9
2021-01-15 00:30:00,23.2,23.2,23,23,22.4,22.4,22.8,22.8,22.8,22,7.6
2021-01-15 01:00:00,23.2,23.2,22.5,22.5,22.4,22.4,22.4,22.4,22.4,21.6,7.4
2021-01-15 01:30:00,23.2,23.2,23,23,22,22,22.4,22.4,22.4,21.6,7.1
2021-01-15 02:00:00,23.2,23.2,22.5,22.5,22,22,22.4,22.4,22.4,21.2,7
2021-01-15 02:30:00,23.2,23.2,22.5,22.5,21.6,21.6,22,22,22,21.2,6.8
2021-01-15 03:00:00,22.8,22.8,22.5,22.5,21.6,21.6,22,22,22,21.2,6.4
2021-01-15 03:30:00,22.8,22.8,22.5,22.5,21.6,21.6,21.6,21.6,21.6,20.8,6.2
2021-01-15 04:00:00,22.8,22.8,22.5,22.5,21.6,21.6,21.6,21.6,21.6,20.8,5.7
2021-01-15 04:30:00,22.8,22.8,22,22,21.2,21.2,21.6,21.6,21.6,20.8,5.5
2021-01-15 05:00:00,22.8,22.8,22,22,21.2,21.2,21.2,21.2,21.2,20.8,5.7
2021-01-15 05:30:00,22.8,22.8,22,22,20.8,20.8,21.2,21.2,21.2,20.8,5.7
2021-01-15 06:00:00,22.4,22.4,22,22,20.8,20.8,21.2,21.2,21.2,20.4,5.7
2021-01-15 06:30:00,22.4,22.4,22,22,20.8,20.8,20.8,20.8,20.8,20.4,5.7
2021-01-15 07:00:00,22.4,22.4,22,22,20.8,20.8,20.8,20.8,20.8,20.4,5.7
2021-01-15 07:30:00,22.8,22.8,22,22,20.8,20.8,21.2,21.2,21.2,20.4,5.7
2021-01-15 08:00:00,22.8,22.8,22,22,20.8,20.8,20.8,20.8,20.8,20.4,5.5
2021-01-15 08:30:00,20.5,20.5,21.5,21.5,16.5,16.5,14.2,14.2,14.2,20.4,5.4
2021-01-15 09:00:00,19.7,19.7,22,22,20.8,20.8,13.8,13.8,13.8,20.4,5.7
2021-01-15 09:30:00,22.8,22.8,26,26,21.6,21.6,13.8,13.8,13.8,20.8,6.1
2021-01-15 10:00:00,23.2,23.2,26,26,21.2,21.2,14.2,14.2,14.2,20.8,6.3
2021-01-15 10:30:00,23.6,23.6,26.5,26.5,21.6,21.6,14.2,14.2,14.2,21.2,6.5
2021-01-15 11:00:00,24,24,26.5,26.5,21.6,21.6,14.2,14.2,14.2,21.2,6.7
2021-01-15 11:30:00,24,24,26.5,26.5,21.6,21.6,14.2,14.2,14.2,21.2,6.9
2021-01-15 12:00:00,24.4,24.4,26.5,26.5,21.6,21.6,14.5,14.5,14.5,21.6,6.8
2021-01-15 12:30:00,24.4,24.4,26.5,26.5,21.6,21.6,14.5,14.5,14.5,21.6,6.9
2021-01-15 13:00:00,24.4,24.4,27,27,22,22,14.5,14.5,14.5,21.6,7.2
2021-01-15 13:30:00,24.8,24.8,27.5,27.5,22,22,14.5,14.5,14.5,21.6,7.8
2021-01-15 14:00:00,24.8,24.8,27.5,27.5,22,22,14.5,14.5,14.5,21.6,7.7
2021-01-15 14:30:00,24.8,24.8,27.5,27.5,22,22,14.9,14.9,14.9,21.6,7.4
2021-01-15 15:00:00,25.2,25.2,27.5,27.5,22,22,14.9,14.9,14.9,21.6,6.9
2021-01-15 15:30:00,25.2,25.2,27.5,27.5,22,22,14.9,14.9,14.9,21.6,7.2
2021-01-15 16:00:00,25.2,25.2,27.5,27.5,22,22,14.9,14.9,14.9,21.6,6.7
2021-01-15 16:30:00,24.8,24.8,28,28,22,22,14.9,14.9,14.9,21.6,6.8
2021-01-15 17:00:00,24.4,24.4,28,28,22,22,16.9,16.9,16.9,21.6,6.8
2021-01-15 17:30:00,24.4,24.4,27.5,27.5,21.6,21.6,15.3,15.3,15.3,21.2,6.9
2021-01-15 18:00:00,24.4,24.4,27.5,27.5,21.6,21.6,15.3,15.3,15.3,21.2,7.1
2021-01-15 18:30:00,24,24,27.5,27.5,21.6,21.6,14.9,14.9,14.9,21.6,7
2021-01-15 19:00:00,24,24,27.5,27.5,21.6,21.6,14.9,14.9,14.9,21.6,7.1
2021-01-15 19:30:00,24,24,27.5,27.5,21.6,21.6,14.9,14.9,14.9,21.6,7
2021-01-15 20:00:00,23.6,23.6,27.5,27.5,21.6,21.6,14.9,14.9,14.9,21.6,7
2021-01-15 20:30:00,23.6,23.6,23,23,22.4,22.4,16.5,16.5,16.5,20.8,7
2021-01-15 21:00:00,23.6,23.6,23,23,22,22,17.7,17.7,17.7,20.8,6.9
2021-01-15 21:30:00,23.6,23.6,23,23,22,22,18.4,18.4,18.4,20.8,7
2021-01-15 22:00:00,23.6,23.6,23,23,22,22,18.8,18.8,18.8,20.8,7.1
2021-01-15 22:30:00,23.6,23.6,22.5,22.5,22,22,18.8,18.8,18.8,20.8,6.9
2021-01-15 23:00:00,23.2,23.2,22.5,22.5,21.6,21.6,19.2,19.2,19.2,20.8,7
2021-01-15 23:30:00,23.2,23.2,22.5,22.5,21.6,21.6,19.2,19.2,19.2,20.8,7.2
