éûä‘,5f0ãzçûâ∑ìx,5f1ãzçûâ∑ìx,5f2ãzçûâ∑ìx,5f3ãzçûâ∑ìx,5f4ãzçûâ∑ìx,5f5ãzçûâ∑ìx,5f6ãzçûâ∑ìx,5f7ãzçûâ∑ìx,5f8ãzçûâ∑ìx,5f9ãzçûâ∑ìx
2021-01-12 00:00:00,19.7,19.7,17.3,17.3,18.9,18.9,20.5,20.5,20.5,17.7
2021-01-12 00:30:00,19.7,19.7,17.3,17.3,18.9,18.9,20.5,20.5,20.5,17.7
2021-01-12 01:00:00,19.7,19.7,17.3,17.3,18.9,18.9,20.5,20.5,20.5,17.3
2021-01-12 01:30:00,19.7,19.7,17.3,17.3,18.9,18.9,20.5,20.5,20.5,17.3
2021-01-12 02:00:00,19.7,19.7,17.3,17.3,18.9,18.9,20.5,20.5,20.5,17.3
2021-01-12 02:30:00,19.7,19.7,17.3,17.3,18.9,18.9,20.5,20.5,20.5,17.3
2021-01-12 03:00:00,19.7,19.7,17.3,17.3,18.5,18.5,20.5,20.5,20.5,17.3
2021-01-12 03:30:00,19.7,19.7,17.3,17.3,18.5,18.5,20.5,20.5,20.5,17.3
2021-01-12 04:00:00,19.7,19.7,17.3,17.3,18.5,18.5,20.1,20.1,20.1,17.3
2021-01-12 04:30:00,19.3,19.3,17.3,17.3,18.5,18.5,20.1,20.1,20.1,17.3
2021-01-12 05:00:00,19.3,19.3,17.3,17.3,18.5,18.5,20.1,20.1,20.1,17.3
2021-01-12 05:30:00,19.3,19.3,17.3,17.3,18.5,18.5,20.1,20.1,20.1,17.3
2021-01-12 06:00:00,19.3,19.3,16.9,16.9,18.5,18.5,20.1,20.1,20.1,16.9
2021-01-12 06:30:00,19.3,19.3,16.9,16.9,18.5,18.5,20.1,20.1,20.1,16.9
2021-01-12 07:00:00,19.3,19.3,17.3,17.3,18.5,18.5,20.1,20.1,20.1,16.9
2021-01-12 07:30:00,22.8,22.8,22.8,22.8,18.5,18.5,19.3,19.3,19.3,16.9
2021-01-12 08:00:00,22.4,22.4,24,24,18.9,18.9,18.9,18.9,18.9,16.9
2021-01-12 08:30:00,23.2,23.2,24.4,24.4,19.7,19.7,18.9,18.9,18.9,17.3
2021-01-12 09:00:00,23.2,23.2,24.8,24.8,19.7,19.7,19.3,19.3,19.3,17.3
2021-01-12 09:30:00,23.2,23.2,25.2,25.2,20.5,20.5,21.3,21.3,21.3,18.8
2021-01-12 10:00:00,23.6,23.6,25.6,25.6,21.7,21.7,21.7,21.7,21.7,18.8
2021-01-12 10:30:00,23.6,23.6,25.6,25.6,22.1,22.1,22.1,22.1,22.1,20
2021-01-12 11:00:00,24,24,26,26,22.4,22.4,22.1,22.1,22.1,19.6
2021-01-12 11:30:00,24.4,24.4,26.4,26.4,22.8,22.8,22.1,22.1,22.1,19.6
2021-01-12 12:00:00,24.8,24.8,26.4,26.4,23.2,23.2,22.4,22.4,22.4,20
2021-01-12 12:30:00,24.8,24.8,26.8,26.8,23.2,23.2,22.1,22.1,22.1,19.2
2021-01-12 13:00:00,24.8,24.8,26.8,26.8,23.2,23.2,23.6,23.6,23.6,20.8
2021-01-12 13:30:00,25.2,25.2,27.2,27.2,23.6,23.6,23.6,23.6,23.6,22
2021-01-12 14:00:00,25.6,25.6,27.2,27.2,23.6,23.6,23.2,23.2,23.2,21.2
2021-01-12 14:30:00,25.6,25.6,27.2,27.2,23.6,23.6,23.6,23.6,23.6,21.2
2021-01-12 15:00:00,26,26,27.6,27.6,24,24,24,24,24,22
2021-01-12 15:30:00,26,26,27.6,27.6,24,24,23.2,23.2,23.2,21.2
2021-01-12 16:00:00,26,26,27.6,27.6,24,24,22.8,22.8,22.8,20.4
2021-01-12 16:30:00,26,26,27.6,27.6,24,24,22.8,22.8,22.8,20
2021-01-12 17:00:00,26,26,27.6,27.6,24,24,22.8,22.8,22.8,20
2021-01-12 17:30:00,26,26,27.6,27.6,24,24,22.8,22.8,22.8,19.2
2021-01-12 18:00:00,26,26,27.6,27.6,24,24,22.8,22.8,22.8,19.6
2021-01-12 18:30:00,26,26,27.6,27.6,24,24,22.4,22.4,22.4,19.6
2021-01-12 19:00:00,26,26,27.6,27.6,23.6,23.6,22.4,22.4,22.4,19.6
2021-01-12 19:30:00,26,26,27.6,27.6,23.6,23.6,22.4,22.4,22.4,20
2021-01-12 20:00:00,25.6,25.6,24.5,24.5,23.2,23.2,21.7,21.7,21.7,21.2
2021-01-12 20:30:00,24.4,24.4,24.1,24.1,22.4,22.4,23.2,23.2,23.2,20.8
2021-01-12 21:00:00,24,24,24.1,24.1,22.4,22.4,24,24,24,20.4
2021-01-12 21:30:00,24,24,23.6,23.6,22.1,22.1,24.4,24.4,24.4,20
2021-01-12 22:00:00,23.6,23.6,23.2,23.2,22.1,22.1,24.4,24.4,24.4,19.6
2021-01-12 22:30:00,23.2,23.2,22.8,22.8,22.1,22.1,24,24,24,19.6
2021-01-12 23:00:00,23.2,23.2,22.4,22.4,21.7,21.7,24,24,24,19.2
2021-01-12 23:30:00,23.2,23.2,22.4,22.4,21.7,21.7,23.6,23.6,23.6,19.2
