éûä‘,5f0ãzçûâ∑ìx,5f1ãzçûâ∑ìx,5f2ãzçûâ∑ìx,5f3ãzçûâ∑ìx,5f4ãzçûâ∑ìx,5f5ãzçûâ∑ìx,5f6ãzçûâ∑ìx,5f7ãzçûâ∑ìx,5f8ãzçûâ∑ìx,5f9ãzçûâ∑ìx
2020-12-15 00:00:00,23.2,23.2,25.6,25.6,22.4,22.4,24.4,24.4,24.4,24.8
2020-12-15 00:30:00,23.2,23.2,25.6,25.6,22.4,22.4,24.4,24.4,24.4,24.8
2020-12-15 01:00:00,23.2,23.2,25.6,25.6,22.4,22.4,24.8,24.8,24.8,24.8
2020-12-15 01:30:00,23.2,23.2,25.6,25.6,22.4,22.4,24.4,24.4,24.4,24.4
2020-12-15 02:00:00,23.2,23.2,25.6,25.6,22.4,22.4,24.4,24.4,24.4,24.4
2020-12-15 02:30:00,23.2,23.2,25.2,25.2,22.4,22.4,24.4,24.4,24.4,24.4
2020-12-15 03:00:00,23.2,23.2,25.2,25.2,22.4,22.4,24.4,24.4,24.4,24.4
2020-12-15 03:30:00,23.2,23.2,25.2,25.2,22.1,22.1,24,24,24,24.4
2020-12-15 04:00:00,23.2,23.2,25.2,25.2,22.1,22.1,24,24,24,24.4
2020-12-15 04:30:00,23.2,23.2,24.8,24.8,22.1,22.1,24,24,24,24.4
2020-12-15 05:00:00,22.8,22.8,24.8,24.8,22.1,22.1,24,24,24,24.4
2020-12-15 05:30:00,22.8,22.8,24.8,24.8,22.1,22.1,24,24,24,24
2020-12-15 06:00:00,22.8,22.8,24.8,24.8,22.1,22.1,23.6,23.6,23.6,24
2020-12-15 06:30:00,22.8,22.8,24.8,24.8,22.1,22.1,23.6,23.6,23.6,24
2020-12-15 07:00:00,22.8,22.8,24.4,24.4,22.1,22.1,23.6,23.6,23.6,24
2020-12-15 07:30:00,24.8,24.8,26,26,22.1,22.1,21.7,21.7,21.7,24
2020-12-15 08:00:00,25.2,25.2,26.8,26.8,22.8,22.8,22.1,22.1,22.1,24
2020-12-15 08:30:00,25.2,25.2,26.4,26.4,23.2,23.2,22.4,22.4,22.4,24
2020-12-15 09:00:00,25.6,25.6,26.4,26.4,23.2,23.2,22.1,22.1,22.1,24.4
2020-12-15 09:30:00,25.6,25.6,26.8,26.8,23.6,23.6,22.8,22.8,22.8,24.4
2020-12-15 10:00:00,25.6,25.6,26,26,23.6,23.6,22.8,22.8,22.8,23.6
2020-12-15 10:30:00,25.6,25.6,25.6,25.6,23.6,23.6,22.8,22.8,22.8,24.4
2020-12-15 11:00:00,26,26,25.6,25.6,24,24,23.2,23.2,23.2,25.2
2020-12-15 11:30:00,26,26,26,26,24.4,24.4,23.6,23.6,23.6,25.2
2020-12-15 12:00:00,26,26,26.4,26.4,24.4,24.4,23.6,23.6,23.6,26
2020-12-15 12:30:00,26,26,26.4,26.4,24.8,24.8,23.6,23.6,23.6,25.6
2020-12-15 13:00:00,26,26,26,26,24.4,24.4,23.6,23.6,23.6,26
2020-12-15 13:30:00,26.4,26.4,26.4,26.4,24.8,24.8,24,24,24,26.4
2020-12-15 14:00:00,26,26,24.8,24.8,24.8,24.8,22.8,22.8,22.8,25.2
2020-12-15 14:30:00,25.6,25.6,24,24,24.8,24.8,22.8,22.8,22.8,26
2020-12-15 15:00:00,25.6,25.6,24,24,24.8,24.8,22.8,22.8,22.8,24.4
2020-12-15 15:30:00,25.6,25.6,24.4,24.4,24.8,24.8,23.6,23.6,23.6,24
2020-12-15 16:00:00,25.6,25.6,24.4,24.4,24.8,24.8,23.6,23.6,23.6,24.8
2020-12-15 16:30:00,25.6,25.6,24.4,24.4,24.8,24.8,23.2,23.2,23.2,24.8
2020-12-15 17:00:00,25.6,25.6,24,24,24.8,24.8,23.2,23.2,23.2,25.2
2020-12-15 17:30:00,25.2,25.2,24,24,24.8,24.8,23.2,23.2,23.2,24.4
2020-12-15 18:00:00,25.2,25.2,24,24,24.4,24.4,22.8,22.8,22.8,24.8
2020-12-15 18:30:00,24.8,24.8,23.6,23.6,24.4,24.4,22.8,22.8,22.8,24.8
2020-12-15 19:00:00,24.8,24.8,23.2,23.2,24,24,22.4,22.4,22.4,24.4
2020-12-15 19:30:00,24.8,24.8,23.2,23.2,23.6,23.6,22.4,22.4,22.4,24.4
2020-12-15 20:00:00,24.4,24.4,23.2,23.2,23.6,23.6,22.1,22.1,22.1,25.6
2020-12-15 20:30:00,24.4,24.4,22.8,22.8,23.2,23.2,22.1,22.1,22.1,26
2020-12-15 21:00:00,24.4,24.4,24.8,24.8,23.2,23.2,21.7,21.7,21.7,25.2
2020-12-15 21:30:00,24,24,25.6,25.6,22.8,22.8,21.3,21.3,21.3,25.2
2020-12-15 22:00:00,24,24,26,26,22.8,22.8,23.2,23.2,23.2,25.2
2020-12-15 22:30:00,23.6,23.6,26,26,22.8,22.8,24,24,24,24.8
2020-12-15 23:00:00,23.6,23.6,26,26,22.8,22.8,24.4,24.4,24.4,24.8
2020-12-15 23:30:00,23.6,23.6,26,26,22.8,22.8,24.8,24.8,24.8,24.8
