éûä‘,4f0ãzçûâ∑ìx,4f1ãzçûâ∑ìx,4f2ãzçûâ∑ìx,4f3ãzçûâ∑ìx,4f4ãzçûâ∑ìx,4f5ãzçûâ∑ìx,4f6ãzçûâ∑ìx,4f7ãzçûâ∑ìx,4f8ãzçûâ∑ìx,4f9ãzçûâ∑ìx,äOãCâ∑
2020-12-23 00:00:00,23.2,23.2,23.5,23.5,22.8,22.8,21.2,21.2,21.2,23.2,5
2020-12-23 00:30:00,23.2,23.2,23,23,22.8,22.8,21.2,21.2,21.2,22.4,4.7
2020-12-23 01:00:00,23.2,23.2,22.5,22.5,22.4,22.4,21.6,21.6,21.6,22,4.4
2020-12-23 01:30:00,23.2,23.2,22.5,22.5,22.4,22.4,21.6,21.6,21.6,21.6,4.2
2020-12-23 02:00:00,22.8,22.8,22,22,22,22,21.6,21.6,21.6,21.2,3.9
2020-12-23 02:30:00,22.8,22.8,22.5,22.5,21.6,21.6,21.6,21.6,21.6,20.8,3.6
2020-12-23 03:00:00,22.8,22.8,22.5,22.5,21.6,21.6,21.2,21.2,21.2,20.8,3.5
2020-12-23 03:30:00,22.8,22.8,22.5,22.5,21.2,21.2,21.2,21.2,21.2,20.4,3.5
2020-12-23 04:00:00,22.4,22.4,22,22,20.8,20.8,20.8,20.8,20.8,20.4,3.6
2020-12-23 04:30:00,22.4,22.4,22,22,20.8,20.8,20.8,20.8,20.8,20.4,3.5
2020-12-23 05:00:00,22.4,22.4,22,22,20.4,20.4,20.4,20.4,20.4,20.4,3.2
2020-12-23 05:30:00,22.4,22.4,21.5,21.5,20.4,20.4,20.4,20.4,20.4,20,3
2020-12-23 06:00:00,22.1,22.1,21.5,21.5,20.4,20.4,20.4,20.4,20.4,20,3
2020-12-23 06:30:00,22.1,22.1,21.5,21.5,20,20,20.4,20.4,20.4,20,2.8
2020-12-23 07:00:00,22.1,22.1,21.5,21.5,20,20,20,20,20,20,2.8
2020-12-23 07:30:00,22.4,22.4,21.5,21.5,20.4,20.4,20,20,20,20,3.6
2020-12-23 08:00:00,23.2,23.2,21.5,21.5,20.4,20.4,20.4,20.4,20.4,20,6
2020-12-23 08:30:00,22.1,22.1,26,26,20.4,20.4,24,24,24,20.4,5.4
2020-12-23 09:00:00,24.4,24.4,27,27,23.2,23.2,27.2,27.2,27.2,22.8,9.9
2020-12-23 09:30:00,24,24,27,27,21.6,21.6,23.6,23.6,23.6,23.6,10.3
2020-12-23 10:00:00,24,24,27,27,21.2,21.2,23.6,23.6,23.6,24.1,8.7
2020-12-23 10:30:00,24.4,24.4,27.5,27.5,21.2,21.2,23.2,23.2,23.2,24.5,9.4
2020-12-23 11:00:00,24.4,24.4,27.5,27.5,21.2,21.2,22.8,22.8,22.8,24.5,10.6
2020-12-23 11:30:00,24.4,24.4,27.5,27.5,20.8,20.8,22.4,22.4,22.4,23.6,13.3
2020-12-23 12:00:00,24.8,24.8,27.5,27.5,20.8,20.8,22.4,22.4,22.4,23.6,14.2
2020-12-23 12:30:00,24.8,24.8,27.5,27.5,20.8,20.8,22.4,22.4,22.4,23.2,14.8
2020-12-23 13:00:00,25.2,25.2,27.5,27.5,20.4,20.4,22.1,22.1,22.1,23.2,16.3
2020-12-23 13:30:00,24.8,24.8,27,27,20.4,20.4,22.1,22.1,22.1,23.2,16.1
2020-12-23 14:00:00,24.4,24.4,27.5,27.5,20.4,20.4,22.1,22.1,22.1,22.8,14.5
2020-12-23 14:30:00,24.4,24.4,27.5,27.5,20.8,20.8,22.4,22.4,22.4,23.2,14.1
2020-12-23 15:00:00,24.8,24.8,27.5,27.5,20.8,20.8,22.4,22.4,22.4,23.2,14.2
2020-12-23 15:30:00,24.8,24.8,27.5,27.5,22.4,22.4,25.6,25.6,25.6,22.8,13.3
2020-12-23 16:00:00,25.2,25.2,27.5,27.5,22.8,22.8,26,26,26,22.8,12.5
2020-12-23 16:30:00,25.2,25.2,27.5,27.5,22.8,22.8,26,26,26,22.8,12.2
2020-12-23 17:00:00,24.8,24.8,28,28,22.4,22.4,25.6,25.6,25.6,22.8,11.5
2020-12-23 17:30:00,24.8,24.8,28,28,22.4,22.4,25.6,25.6,25.6,22.4,11.2
2020-12-23 18:00:00,24.8,24.8,28,28,22.4,22.4,25.6,25.6,25.6,22.4,10.8
2020-12-23 18:30:00,24.4,24.4,28,28,22,22,25.6,25.6,25.6,22.4,10.6
2020-12-23 19:00:00,24.4,24.4,28,28,22,22,25.2,25.2,25.2,22,10.4
2020-12-23 19:30:00,24.4,24.4,27.5,27.5,21.6,21.6,25.2,25.2,25.2,22,10.3
2020-12-23 20:00:00,24,24,27.5,27.5,21.6,21.6,24.8,24.8,24.8,22,9.9
2020-12-23 20:30:00,24,24,27,27,21.6,21.6,24.8,24.8,24.8,21.6,9.8
2020-12-23 21:00:00,23.6,23.6,27.5,27.5,21.2,21.2,24.8,24.8,24.8,21.6,10
2020-12-23 21:30:00,23.6,23.6,27.5,27.5,21.2,21.2,24.8,24.8,24.8,21.6,10.1
2020-12-23 22:00:00,23.6,23.6,23,23,21.6,21.6,20.8,20.8,20.8,21.6,10.4
2020-12-23 22:30:00,23.6,23.6,23,23,22.8,22.8,22.4,22.4,22.4,21.2,10.2
2020-12-23 23:00:00,23.6,23.6,23,23,23.2,23.2,22.4,22.4,22.4,20.8,10.1
2020-12-23 23:30:00,23.6,23.6,23,23,22.8,22.8,22.4,22.4,22.4,20.8,9.3
