éûä‘,5f0ãzçûâ∑ìx,5f1ãzçûâ∑ìx,5f2ãzçûâ∑ìx,5f3ãzçûâ∑ìx,5f4ãzçûâ∑ìx,5f5ãzçûâ∑ìx,5f6ãzçûâ∑ìx,5f7ãzçûâ∑ìx,5f8ãzçûâ∑ìx,5f9ãzçûâ∑ìx
2020-12-30 00:00:00,21.7,21.7,19.2,19.2,20.9,20.9,22.4,22.4,22.4,24
2020-12-30 00:30:00,21.7,21.7,19.2,19.2,20.9,20.9,22.4,22.4,22.4,24
2020-12-30 01:00:00,21.7,21.7,19.2,19.2,20.9,20.9,22.1,22.1,22.1,24
2020-12-30 01:30:00,21.7,21.7,19.2,19.2,20.9,20.9,22.1,22.1,22.1,24
2020-12-30 02:00:00,21.7,21.7,19.2,19.2,20.9,20.9,22.1,22.1,22.1,24
2020-12-30 02:30:00,21.7,21.7,19.2,19.2,20.9,20.9,22.1,22.1,22.1,24
2020-12-30 03:00:00,21.7,21.7,19.2,19.2,20.9,20.9,22.1,22.1,22.1,23.6
2020-12-30 03:30:00,21.7,21.7,19.2,19.2,20.9,20.9,22.1,22.1,22.1,23.6
2020-12-30 04:00:00,21.7,21.7,19.2,19.2,20.9,20.9,22.1,22.1,22.1,23.6
2020-12-30 04:30:00,21.7,21.7,19.2,19.2,20.5,20.5,22.1,22.1,22.1,23.6
2020-12-30 05:00:00,21.7,21.7,19.2,19.2,20.5,20.5,22.1,22.1,22.1,23.6
2020-12-30 05:30:00,21.7,21.7,19.2,19.2,20.5,20.5,22.1,22.1,22.1,23.6
2020-12-30 06:00:00,21.7,21.7,19.2,19.2,20.5,20.5,22.1,22.1,22.1,23.6
2020-12-30 06:30:00,21.7,21.7,19.2,19.2,20.5,20.5,22.1,22.1,22.1,23.6
2020-12-30 07:00:00,21.7,21.7,19.2,19.2,20.5,20.5,22.1,22.1,22.1,23.6
2020-12-30 07:30:00,21.3,21.3,19.2,19.2,20.5,20.5,22.1,22.1,22.1,23.6
2020-12-30 08:00:00,21.3,21.3,18.8,18.8,20.5,20.5,22.1,22.1,22.1,23.2
2020-12-30 08:30:00,21.3,21.3,18.4,18.4,20.1,20.1,21.3,21.3,21.3,23.2
2020-12-30 09:00:00,20.9,20.9,17.7,17.7,19.7,19.7,20.5,20.5,20.5,18.4
2020-12-30 09:30:00,20.5,20.5,17.3,17.3,19.7,19.7,23.2,23.2,23.2,21.6
2020-12-30 10:00:00,20.5,20.5,17.3,17.3,19.7,19.7,26,26,26,22.4
2020-12-30 10:30:00,20.5,20.5,16.9,16.9,19.7,19.7,27.2,27.2,27.2,22.8
2020-12-30 11:00:00,20.5,20.5,16.9,16.9,19.7,19.7,27.6,27.6,27.6,23.2
2020-12-30 11:30:00,20.1,20.1,16.9,16.9,19.7,19.7,28.1,28.1,28.1,23.2
2020-12-30 12:00:00,20.1,20.1,16.5,16.5,19.7,19.7,28.5,28.5,28.5,23.2
2020-12-30 12:30:00,20.1,20.1,16.5,16.5,19.7,19.7,28.5,28.5,28.5,23.6
2020-12-30 13:00:00,20.1,20.1,16.5,16.5,20.1,20.1,28.9,28.9,28.9,23.6
2020-12-30 13:30:00,20.1,20.1,16.5,16.5,20.1,20.1,28.9,28.9,28.9,23.6
2020-12-30 14:00:00,20.5,20.5,16.5,16.5,20.1,20.1,28.9,28.9,28.9,23.6
2020-12-30 14:30:00,20.5,20.5,16.9,16.9,20.1,20.1,28.9,28.9,28.9,23.2
2020-12-30 15:00:00,20.5,20.5,16.9,16.9,20.5,20.5,29.3,29.3,29.3,22.8
2020-12-30 15:30:00,20.5,20.5,16.9,16.9,20.5,20.5,29.3,29.3,29.3,23.2
2020-12-30 16:00:00,20.5,20.5,16.9,16.9,20.5,20.5,28.9,28.9,28.9,23.6
2020-12-30 16:30:00,20.5,20.5,16.9,16.9,20.5,20.5,28.9,28.9,28.9,22.8
2020-12-30 17:00:00,20.5,20.5,16.9,16.9,20.5,20.5,29.3,29.3,29.3,23.6
2020-12-30 17:30:00,20.5,20.5,16.9,16.9,20.5,20.5,29.3,29.3,29.3,23.6
2020-12-30 18:00:00,20.5,20.5,16.9,16.9,20.5,20.5,28.9,28.9,28.9,22.8
2020-12-30 18:30:00,20.5,20.5,16.9,16.9,20.5,20.5,27.2,27.2,27.2,24.1
2020-12-30 19:00:00,20.9,20.9,17.3,17.3,20.5,20.5,26,26,26,23.6
2020-12-30 19:30:00,20.9,20.9,17.7,17.7,20.5,20.5,25.2,25.2,25.2,22.8
2020-12-30 20:00:00,20.9,20.9,17.7,17.7,20.5,20.5,24.4,24.4,24.4,22
2020-12-30 20:30:00,20.9,20.9,18.1,18.1,20.5,20.5,24,24,24,21.6
2020-12-30 21:00:00,20.9,20.9,18.1,18.1,20.5,20.5,23.6,23.6,23.6,21.2
2020-12-30 21:30:00,20.9,20.9,18.1,18.1,20.5,20.5,23.2,23.2,23.2,21.2
2020-12-30 22:00:00,20.9,20.9,18.1,18.1,20.1,20.1,22.8,22.8,22.8,20.8
2020-12-30 22:30:00,20.9,20.9,18.1,18.1,20.1,20.1,22.8,22.8,22.8,20.4
2020-12-30 23:00:00,20.9,20.9,18.1,18.1,20.1,20.1,22.4,22.4,22.4,20.4
2020-12-30 23:30:00,20.9,20.9,18.1,18.1,20.1,20.1,22.4,22.4,22.4,20.4
