éûä‘,4f0ãzçûâ∑ìx,4f1ãzçûâ∑ìx,4f2ãzçûâ∑ìx,4f3ãzçûâ∑ìx,4f4ãzçûâ∑ìx,4f5ãzçûâ∑ìx,4f6ãzçûâ∑ìx,4f7ãzçûâ∑ìx,4f8ãzçûâ∑ìx,4f9ãzçûâ∑ìx,äOãCâ∑
2020-12-30 00:00:00,21.3,21.3,20.5,20.5,18.4,18.4,18.4,18.4,18.4,19.6,8.1
2020-12-30 00:30:00,21.3,21.3,20.5,20.5,18.4,18.4,18.4,18.4,18.4,19.6,7.5
2020-12-30 01:00:00,21.3,21.3,20.5,20.5,18.4,18.4,18.4,18.4,18.4,19.6,7.4
2020-12-30 01:30:00,21.3,21.3,20,20,18.4,18.4,18.4,18.4,18.4,19.6,7.1
2020-12-30 02:00:00,20.9,20.9,20,20,18.4,18.4,18.4,18.4,18.4,19.6,7.1
2020-12-30 02:30:00,20.9,20.9,20,20,18.4,18.4,18.4,18.4,18.4,19.6,7.1
2020-12-30 03:00:00,20.9,20.9,20,20,18.4,18.4,18.4,18.4,18.4,19.6,6.8
2020-12-30 03:30:00,20.9,20.9,20.5,20.5,18.4,18.4,18.4,18.4,18.4,19.6,6.9
2020-12-30 04:00:00,20.9,20.9,20,20,18.4,18.4,18.4,18.4,18.4,19.2,6.9
2020-12-30 04:30:00,20.9,20.9,20,20,18.4,18.4,18.4,18.4,18.4,19.2,6.6
2020-12-30 05:00:00,20.9,20.9,20,20,18.4,18.4,18.4,18.4,18.4,19.2,6.4
2020-12-30 05:30:00,20.9,20.9,20,20,18.4,18.4,18.4,18.4,18.4,19.2,5.9
2020-12-30 06:00:00,20.9,20.9,20,20,18.1,18.1,18.1,18.1,18.1,19.2,5.6
2020-12-30 06:30:00,20.9,20.9,20,20,18.1,18.1,18.1,18.1,18.1,19.2,5.7
2020-12-30 07:00:00,20.9,20.9,20,20,18.1,18.1,18.1,18.1,18.1,19.2,5.3
2020-12-30 07:30:00,20.9,20.9,20,20,18.1,18.1,18.1,18.1,18.1,19.2,5.6
2020-12-30 08:00:00,20.5,20.5,20,20,18.1,18.1,18.1,18.1,18.1,19.2,6.1
2020-12-30 08:30:00,18.5,18.5,20,20,14.2,14.2,12.6,12.6,12.6,18.8,5.7
2020-12-30 09:00:00,18.2,18.2,20,20,13,13,11.8,11.8,11.8,18.8,5.7
2020-12-30 09:30:00,17.8,17.8,19.5,19.5,12.2,12.2,11,11,11,18.8,5.5
2020-12-30 10:00:00,17.8,17.8,19.5,19.5,11.8,11.8,11,11,11,18.8,5
2020-12-30 10:30:00,17.4,17.4,19.5,19.5,11.8,11.8,10.7,10.7,10.7,18.8,5.7
2020-12-30 11:00:00,17.4,17.4,19.5,19.5,11.8,11.8,10.7,10.7,10.7,18.8,6.5
2020-12-30 11:30:00,17.4,17.4,19.5,19.5,11.8,11.8,10.7,10.7,10.7,18.8,7.2
2020-12-30 12:00:00,17.4,17.4,19.5,19.5,11.8,11.8,11,11,11,18.8,8.7
2020-12-30 12:30:00,17.4,17.4,19.5,19.5,11.8,11.8,11.4,11.4,11.4,18.8,9.7
2020-12-30 13:00:00,17.8,17.8,19,19,12.2,12.2,11.4,11.4,11.4,18.8,10.2
2020-12-30 13:30:00,17.8,17.8,19.5,19.5,12.2,12.2,11.8,11.8,11.8,18.8,11.5
2020-12-30 14:00:00,17.8,17.8,19.5,19.5,12.6,12.6,11.8,11.8,11.8,18.8,10.7
2020-12-30 14:30:00,18.2,18.2,19,19,13,13,12.2,12.2,12.2,18.8,10.5
2020-12-30 15:00:00,18.2,18.2,19.5,19.5,13.4,13.4,12.6,12.6,12.6,19.2,10.3
2020-12-30 15:30:00,18.2,18.2,19.5,19.5,13.4,13.4,12.6,12.6,12.6,19.2,10
2020-12-30 16:00:00,18.2,18.2,19,19,13.4,13.4,12.6,12.6,12.6,19.2,9.7
2020-12-30 16:30:00,18.2,18.2,19,19,13.4,13.4,12.6,12.6,12.6,19.2,9.5
2020-12-30 17:00:00,19.3,19.3,19.5,19.5,14.5,14.5,13.8,13.8,13.8,19.2,9.3
2020-12-30 17:30:00,19.7,19.7,19.5,19.5,15.3,15.3,14.5,14.5,14.5,19.2,9.3
2020-12-30 18:00:00,19.7,19.7,19.5,19.5,15.7,15.7,15.3,15.3,15.3,19.2,8.5
2020-12-30 18:30:00,19.7,19.7,19,19,16.1,16.1,15.7,15.7,15.7,19.2,7.2
2020-12-30 19:00:00,19.7,19.7,19.5,19.5,16.5,16.5,15.7,15.7,15.7,19.2,6.2
2020-12-30 19:30:00,19.7,19.7,19.5,19.5,16.5,16.5,16.1,16.1,16.1,18.8,5.7
2020-12-30 20:00:00,19.7,19.7,19.5,19.5,16.5,16.5,16.1,16.1,16.1,18.8,5.1
2020-12-30 20:30:00,19.7,19.7,19.5,19.5,16.9,16.9,16.5,16.5,16.5,18.8,4.9
2020-12-30 21:00:00,19.7,19.7,19.5,19.5,16.9,16.9,16.5,16.5,16.5,18.8,4.7
2020-12-30 21:30:00,19.7,19.7,19.5,19.5,16.9,16.9,16.5,16.5,16.5,18.8,4.3
2020-12-30 22:00:00,19.7,19.7,19,19,16.9,16.9,16.5,16.5,16.5,18.8,4.3
2020-12-30 22:30:00,19.7,19.7,19.5,19.5,16.9,16.9,16.5,16.5,16.5,18.8,3.8
2020-12-30 23:00:00,19.7,19.7,19,19,16.9,16.9,16.5,16.5,16.5,18.4,3.7
2020-12-30 23:30:00,19.7,19.7,19,19,16.9,16.9,16.5,16.5,16.5,18.4,3.3
