,time,3f0ãzçûâ∑ìx,3f1ãzçûâ∑ìx,3f2ãzçûâ∑ìx,3f3ãzçûâ∑ìx,3f4ãzçûâ∑ìx,3f5ãzçûâ∑ìx,3f6ãzçûâ∑ìx,3f7ãzçûâ∑ìx,3f8ãzçûâ∑ìx,3f9ãzçûâ∑ìx
0,2021-07-05 00:00:00,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.399999999999995,26.4,24.0
1,2021-07-05 00:01:00,25.200089947362205,25.20010607629376,26.399998609445664,26.39999988924211,25.200077700769402,25.214403574173666,26.399506184960934,26.399998852627874,26.400000000524454,24.00147497356854
2,2021-07-05 00:02:00,25.200340143523665,25.200406537627387,26.39999598768035,26.400001787904234,25.20028364510561,25.228728497126173,26.399193984962267,26.39999550128685,26.400000008207225,24.00316409947688
3,2021-07-05 00:03:00,25.20074203467418,25.20089412623602,26.399994312046747,26.400008913918253,25.2006106065726,25.242954945806,26.399057042463692,26.39999013655168,26.400000040673703,24.005047899988572
4,2021-07-05 00:04:00,25.201288083832512,25.201562393449755,26.3999955764669,26.400024274905327,25.20105271248707,25.257081474844032,26.399089212502197,26.399982942750977,26.40000012588477,24.007119678799675
5,2021-07-05 00:05:00,25.20197110273605,25.2024051339712,26.400001604163823,26.400050679454946,25.201604372601963,25.27110676467559,26.39928456755505,26.399974097899285,26.40000030103759,24.00937394673334
6,2021-07-05 00:06:00,25.202784235107757,25.203416377844892,26.400014058684416,26.400090749777327,25.202260269968697,25.285029696540164,26.399637390610827,26.39996377323429,26.4000006115387,24.01180538870057
7,2021-07-05 00:07:00,25.203720943207212,25.204590382353864,26.40003445437486,26.400146932375478,25.20301534855497,25.29884932296992,26.40014216364515,26.39995213311164,26.4000011100583,24.01440855924441
8,2021-07-05 00:08:00,25.204774993452677,25.205921624331094,26.4000641668492,26.40022150866044,25.203864798527942,25.31256485895873,26.400794022978328,26.39993933526236,26.400001856473985,24.01717819071588
9,2021-07-05 00:09:00,25.20594044267695,25.207404792766276,26.400104442566644,26.400316606820432,25.204804043576328,25.32617566985722,26.40158858063189,26.39992553101379,26.400002918586484,24.020109185838894
10,2021-07-05 00:10:00,25.207211624998752,25.20903476886003,26.40015640778326,26.40043420704073,25.205828729165297,25.339681260502505,26.40252111330116,26.399910865342303,26.400004367123785,24.02319661103837
11,2021-07-05 00:11:00,25.208583139288503,25.210806591382784,26.40022107695015,26.40057614260035,25.206934711408852,25.353081263826876,26.403587045428885,26.39989547648698,26.400006276764582,24.026435690028702
12,2021-07-05 00:12:00,25.210049837377625,25.21271547081781,26.400299360580483,26.40074411227787,25.20811804652375,25.366375430454518,26.40478195229607,26.399879496188998,26.40000872570629,24.02982179776209
13,2021-07-05 00:13:00,25.211606812661625,25.2147567827972,26.4003920726434,26.400939687008012,25.209374980843847,25.37956362066239,26.406101554052604,26.399863050034,26.400011795090776,24.033350454694943
14,2021-07-05 00:14:00,25.21324938894107,25.216926063810806,26.40049993740016,26.401164317232986,25.210701941345555,25.39264579534645,26.407541711171326,26.399846257459483,26.400015568472966,24.037017321335732
15,2021-07-05 00:15:00,25.21497310997534,25.219219005172032,26.40062359609986,26.401419339457256,25.212095526667646,25.40562200786045,26.409098419970146,26.39982923190384,26.400020131338444,24.040818193058662
16,2021-07-05 00:16:00,25.216773729536317,25.22163144704893,26.40076361385675,26.401705982415386,25.21355249861209,25.418492396193408,26.41076780767027,26.39981208096776,26.400025570661175,24.044748995165843
17,2021-07-05 00:17:00,25.218647201893262,25.2241593728153,26.400920485193037,26.402025372935395,25.21506977407003,25.431257176357818,26.412546127878127,26.399794906587967,26.400031974500237,24.048805778182512
18,2021-07-05 00:18:00,25.22058967272841,25.226798903649502,26.40109463931023,26.402378541506987,25.216644417370173,25.443916635847906,26.41442975623925,26.39977780521545,26.40003943163208,24.052984713370627
19,2021-07-05 00:19:00,25.2225974704601,25.229546293416696,26.401286445026106,26.4027664275655,25.218273633021923,25.45647112776931,26.416415186247,26.399760867991176,26.400048031216176,24.057282088433077
20,2021-07-05 00:20:00,25.22466709795443,25.232397923525248,26.401496214354854,26.4031898845191,25.219954758831772,25.46892106536152,26.41849902520004,26.399744180924397,26.400057862491714,24.061694303387913
21,2021-07-05 00:21:00,25.22679522460823,25.235350298200512,26.40172420984377,26.403649684525465,25.22168525935629,25.481267880084893,26.42067799030044,26.39972782510046,26.40006901450274,24.066217866697837
22,2021-07-05 00:22:00,25.228978678829808,25.238400040000737,26.401970645654107,26.404146523029986,25.22346272011735,25.49351675192738,26.422948904880577,26.399711878025517,26.40008157585062,24.07084939155371
23,2021-07-05 00:23:00,25.231214440840553,25.24154388547052,26.402235692228533,26.404681023077412,25.22528484332882,25.505668768623682,26.42530869481518,26.39969641249625,26.400095634470816,24.07558559232584
24,2021-07-05 00:24:00,25.23349963570689,25.24477868081805,26.402519479819087,26.405253739407037,25.22714944063406,25.51772435974763,26.427754385019302,26.399681496095788,26.40011127743228,24.080423281141094
25,2021-07-05 00:25:00,25.235831526740085,25.248101377856674,26.402822101752843,26.40586516234257,25.22905442738569,25.52968399683269,26.43028309613822,26.399667193490462,26.40012859075845,24.085359364940576
26,2021-07-05 00:26:00,25.238207509197093,25.251509030121078,26.40314361747715,26.40651572148591,25.230997817609172,25.54154818970105,26.4328920457903,26.39965356564137,26.40014765926759,24.090390842428107
27,2021-07-05 00:27:00,25.240625104262925,25.25499878913949,26.403484055397836,26.407205789224854,25.232977719235283,25.55331748310337,26.435578630782036,26.39964066995079,26.40016856643148,24.095514801076327
