time,3f0ãzçûâ∑ìx,3f1ãzçûâ∑ìx,3f2ãzçûâ∑ìx,3f3ãzçûâ∑ìx,3f4ãzçûâ∑ìx,3f5ãzçûâ∑ìx,3f6ãzçûâ∑ìx,3f7ãzçûâ∑ìx,3f8ãzçûâ∑ìx,3f9ãzçûâ∑ìx
2021-07-05 00:00:00,25.2,25.2,26.4,26.4,25.2,25.2,26.4,26.399999999999995,26.4,24.0
2021-07-05 00:01:00,25.200089947362205,25.200106076293757,26.399998609445664,26.39999988924211,25.200077700769402,25.214403574173666,26.399506184960938,26.399998852627874,26.400000000524457,24.00147497356854
2021-07-05 00:02:00,25.200340143523665,25.200406537627384,26.39999598768035,26.400001787904234,25.200283645105607,25.228728497126177,26.399193984962267,26.39999550128685,26.400000008207222,24.003164099476876
2021-07-05 00:03:00,25.200742034674185,25.20089412623602,26.399994312046744,26.40000891391825,25.200610606572596,25.242954945806005,26.39905704246369,26.39999013655168,26.400000040673703,24.005047899988575
2021-07-05 00:04:00,25.201288083832512,25.201562393449755,26.3999955764669,26.40002427490533,25.201052712487066,25.257081474844032,26.3990892125022,26.39998294275098,26.400000125884773,24.007119678799675
2021-07-05 00:05:00,25.201971102736053,25.2024051339712,26.400001604163823,26.400050679454942,25.20160437260196,25.27110676467559,26.39928456755505,26.399974097899285,26.400000301037586,24.00937394673334
2021-07-05 00:06:00,25.202784235107753,25.20341637784489,26.400014058684416,26.40009074977733,25.202260269968697,25.285029696540164,26.399637390610827,26.399963773234294,26.4000006115387,24.011805388700573
2021-07-05 00:07:00,25.20372094320721,25.204590382353864,26.40003445437486,26.40014693237548,25.203015348554967,25.298849322969918,26.40014216364515,26.39995213311164,26.400001110058305,24.01440855924441
2021-07-05 00:08:00,25.20477499345268,25.205921624331097,26.400064166849205,26.40022150866044,25.20386479852794,25.312564858958734,26.400794022978328,26.399939335262356,26.400001856473985,24.017178190715878
2021-07-05 00:09:00,25.20594044267695,25.207404792766273,26.400104442566636,26.40031660682043,25.204804043576335,25.32617566985722,26.40158858063189,26.39992553101379,26.400002918586484,24.020109185838898
2021-07-05 00:10:00,25.207211624998752,25.209034768860032,26.40015640778326,26.400434207040735,25.205828729165297,25.339681260502505,26.402521113301162,26.399910865342303,26.400004367123785,24.02319661103837
2021-07-05 00:11:00,25.2085831392885,25.210806591382784,26.40022107695015,26.40057614260035,25.206934711408852,25.353081263826873,26.403587045428885,26.39989547648698,26.400006276764582,24.0264356900287
2021-07-05 00:12:00,25.210049837377625,25.21271547081781,26.400299360580483,26.40074411227787,25.208118046523754,25.366375430454514,26.40478195229607,26.399879496188998,26.400008725706286,24.029821797762093
2021-07-05 00:13:00,25.211606812661625,25.2147567827972,26.4003920726434,26.400939687008012,25.209374980843847,25.379563620662385,26.406101554052604,26.399863050033996,26.400011795090776,24.03335045469494
