éûä‘,5f0ãzçûâ∑ìx,5f1ãzçûâ∑ìx,5f2ãzçûâ∑ìx,5f3ãzçûâ∑ìx,5f4ãzçûâ∑ìx,5f5ãzçûâ∑ìx,5f6ãzçûâ∑ìx,5f7ãzçûâ∑ìx,5f8ãzçûâ∑ìx,5f9ãzçûâ∑ìx
2020-12-22 00:00:00,23.6,23.6,22.4,22.4,22.8,22.8,24.8,24.8,24.8,24.4
2020-12-22 00:30:00,23.6,23.6,22.4,22.4,22.4,22.4,24.8,24.8,24.8,24.4
2020-12-22 01:00:00,23.2,23.2,22,22,22.4,22.4,24.4,24.4,24.4,24.4
2020-12-22 01:30:00,23.2,23.2,22,22,22.4,22.4,24.4,24.4,24.4,24
2020-12-22 02:00:00,23.2,23.2,21.6,21.6,22.4,22.4,24.4,24.4,24.4,24
2020-12-22 02:30:00,23.2,23.2,21.6,21.6,22.1,22.1,24,24,24,24
2020-12-22 03:00:00,22.8,22.8,21.6,21.6,22.1,22.1,24,24,24,24
2020-12-22 03:30:00,22.8,22.8,21.2,21.2,22.1,22.1,24,24,24,24
2020-12-22 04:00:00,22.8,22.8,21.2,21.2,22.1,22.1,23.6,23.6,23.6,24
2020-12-22 04:30:00,22.8,22.8,21.2,21.2,22.1,22.1,23.6,23.6,23.6,24
2020-12-22 05:00:00,22.4,22.4,20.8,20.8,21.7,21.7,23.6,23.6,23.6,23.6
2020-12-22 05:30:00,22.4,22.4,20.8,20.8,21.7,21.7,23.6,23.6,23.6,23.6
2020-12-22 06:00:00,22.4,22.4,20.8,20.8,21.7,21.7,23.2,23.2,23.2,23.6
2020-12-22 06:30:00,22.4,22.4,20.4,20.4,21.7,21.7,23.2,23.2,23.2,23.6
2020-12-22 07:00:00,22.4,22.4,20.4,20.4,21.7,21.7,22.1,22.1,22.1,23.6
2020-12-22 07:30:00,24.4,24.4,25.6,25.6,21.7,21.7,20.9,20.9,20.9,23.2
2020-12-22 08:00:00,24.8,24.8,26.4,26.4,22.1,22.1,20.9,20.9,20.9,23.2
2020-12-22 08:30:00,25.2,25.2,26.8,26.8,22.8,22.8,21.7,21.7,21.7,23.6
2020-12-22 09:00:00,25.6,25.6,27.2,27.2,22.8,22.8,21.7,21.7,21.7,23.6
2020-12-22 09:30:00,25.6,25.6,27.2,27.2,23.2,23.2,22.4,22.4,22.4,23.6
2020-12-22 10:00:00,25.6,25.6,26,26,23.6,23.6,22.4,22.4,22.4,24
2020-12-22 10:30:00,25.6,25.6,26.4,26.4,23.6,23.6,22.8,22.8,22.8,24.4
2020-12-22 11:00:00,25.2,25.2,25.2,25.2,23.6,23.6,22.4,22.4,22.4,24.8
2020-12-22 11:30:00,25.2,25.2,24.8,24.8,23.6,23.6,22.4,22.4,22.4,25.2
2020-12-22 12:00:00,25.2,25.2,26,26,24,24,22.8,22.8,22.8,25.6
2020-12-22 12:30:00,25.6,25.6,25.6,25.6,24,24,22.8,22.8,22.8,26
2020-12-22 13:00:00,25.2,25.2,24.4,24.4,24,24,22.8,22.8,22.8,26
2020-12-22 13:30:00,25.2,25.2,24,24,24,24,23.2,23.2,23.2,25.6
2020-12-22 14:00:00,25.2,25.2,24,24,24.4,24.4,23.2,23.2,23.2,26.4
2020-12-22 14:30:00,25.2,25.2,24.4,24.4,24.8,24.8,23.6,23.6,23.6,24
2020-12-22 15:00:00,25.2,25.2,24,24,24.8,24.8,23.6,23.6,23.6,24.8
2020-12-22 15:30:00,25.6,25.6,24.4,24.4,25.2,25.2,23.6,23.6,23.6,25.6
2020-12-22 16:00:00,25.6,25.6,24.4,24.4,25.2,25.2,23.6,23.6,23.6,25.6
2020-12-22 16:30:00,25.6,25.6,24.4,24.4,24.8,24.8,23.6,23.6,23.6,25.2
2020-12-22 17:00:00,25.2,25.2,24,24,24.8,24.8,23.2,23.2,23.2,25.6
2020-12-22 17:30:00,25.2,25.2,24,24,24.4,24.4,23.2,23.2,23.2,25.2
2020-12-22 18:00:00,24.8,24.8,24,24,24.4,24.4,23.2,23.2,23.2,24.8
2020-12-22 18:30:00,24.8,24.8,23.6,23.6,24.4,24.4,22.8,22.8,22.8,25.2
2020-12-22 19:00:00,24.8,24.8,23.6,23.6,24,24,22.8,22.8,22.8,24.8
2020-12-22 19:30:00,24.4,24.4,23.2,23.2,24,24,22.8,22.8,22.8,24
2020-12-22 20:00:00,24,24,22.8,22.8,23.6,23.6,22.4,22.4,22.4,24.4
2020-12-22 20:30:00,24,24,22.8,22.8,23.2,23.2,22.4,22.4,22.4,24.4
2020-12-22 21:00:00,24,24,23.6,23.6,23.2,23.2,22.4,22.4,22.4,24.4
2020-12-22 21:30:00,24,24,23.2,23.2,23.2,23.2,22.1,22.1,22.1,25.6
2020-12-22 22:00:00,24,24,20,20,22.8,22.8,21.7,21.7,21.7,26
2020-12-22 22:30:00,23.6,23.6,21.2,21.2,22.8,22.8,23.6,23.6,23.6,25.2
2020-12-22 23:00:00,23.6,23.6,21.6,21.6,22.8,22.8,24.4,24.4,24.4,25.2
2020-12-22 23:30:00,23.6,23.6,22,22,22.8,22.8,24.8,24.8,24.8,25.2
