éûä‘,4f0ãzçûâ∑ìx,4f1ãzçûâ∑ìx,4f2ãzçûâ∑ìx,4f3ãzçûâ∑ìx,4f4ãzçûâ∑ìx,4f5ãzçûâ∑ìx,4f6ãzçûâ∑ìx,4f7ãzçûâ∑ìx,4f8ãzçûâ∑ìx,4f9ãzçûâ∑ìx,äOãCâ∑
2020-12-22 00:00:00,22.1,22.1,21.5,21.5,21.6,21.6,21.6,21.6,21.6,20.8,4.5
2020-12-22 00:30:00,22.1,22.1,22,22,21.6,21.6,21.6,21.6,21.6,20.4,4.5
2020-12-22 01:00:00,22.1,22.1,21.5,21.5,21.2,21.2,21.2,21.2,21.2,20.4,4.3
2020-12-22 01:30:00,22.1,22.1,21.5,21.5,20.8,20.8,21.2,21.2,21.2,20.4,3.9
2020-12-22 02:00:00,22.1,22.1,21.5,21.5,20.8,20.8,20.8,20.8,20.8,20,3.5
2020-12-22 02:30:00,22.1,22.1,21,21,20.4,20.4,20.8,20.8,20.8,20,3.6
2020-12-22 03:00:00,21.7,21.7,21,21,20.4,20.4,20.4,20.4,20.4,20,3.2
2020-12-22 03:30:00,21.7,21.7,21,21,20,20,20.4,20.4,20.4,20,2.8
2020-12-22 04:00:00,21.7,21.7,21,21,20,20,20,20,20,19.6,2.4
2020-12-22 04:30:00,21.7,21.7,21,21,19.6,19.6,20,20,20,19.6,2.1
2020-12-22 05:00:00,21.7,21.7,21,21,19.6,19.6,20,20,20,19.6,2
2020-12-22 05:30:00,21.3,21.3,20.5,20.5,19.6,19.6,19.6,19.6,19.6,19.6,1.8
2020-12-22 06:00:00,21.3,21.3,20.5,20.5,19.2,19.2,19.6,19.6,19.6,19.2,1.6
2020-12-22 06:30:00,21.3,21.3,20.5,20.5,19.2,19.2,19.6,19.6,19.6,19.2,1.6
2020-12-22 07:00:00,21.3,21.3,20.5,20.5,19.2,19.2,19.2,19.2,19.2,19.2,1.6
2020-12-22 07:30:00,21.3,21.3,20.5,20.5,19.6,19.6,19.2,19.2,19.2,19.2,1.8
2020-12-22 08:00:00,22.4,22.4,21,21,20.8,20.8,23.2,23.2,23.2,20.4,3.2
2020-12-22 08:30:00,20.1,20.1,21.5,21.5,20.8,20.8,24.8,24.8,24.8,22.8,3.2
2020-12-22 09:00:00,22.4,22.4,25.5,25.5,20,20,23.6,23.6,23.6,22.4,6.2
2020-12-22 09:30:00,22.4,22.4,26,26,21.2,21.2,22.8,22.8,22.8,23.2,4.8
2020-12-22 10:00:00,22.8,22.8,26,26,21.6,21.6,24,24,24,23.6,6.6
2020-12-22 10:30:00,22.8,22.8,26.5,26.5,21.2,21.2,23.2,23.2,23.2,24.1,7.2
2020-12-22 11:00:00,22.8,22.8,26.5,26.5,20.4,20.4,22.8,22.8,22.8,23.2,8.6
2020-12-22 11:30:00,22.8,22.8,26.5,26.5,21.2,21.2,24,24,24,23.6,10.9
2020-12-22 12:00:00,22.8,22.8,27,27,20.8,20.8,22.8,22.8,22.8,24.5,11.6
2020-12-22 12:30:00,23.2,23.2,27,27,21.6,21.6,24,24,24,24.9,11.6
2020-12-22 13:00:00,23.2,23.2,27,27,20.8,20.8,22.8,22.8,22.8,24.9,12
2020-12-22 13:30:00,23.6,23.6,27,27,21.2,21.2,23.6,23.6,23.6,24.9,11.7
2020-12-22 14:00:00,23.6,23.6,27.5,27.5,21.6,21.6,24,24,24,24.9,11.4
2020-12-22 14:30:00,24,24,27.5,27.5,21.6,21.6,24,24,24,24.5,11.4
2020-12-22 15:00:00,24,24,27.5,27.5,21.6,21.6,24,24,24,24.1,10.8
2020-12-22 15:30:00,24.4,24.4,27.5,27.5,21.6,21.6,24,24,24,24.1,10.6
2020-12-22 16:00:00,24.4,24.4,27.5,27.5,21.6,21.6,24,24,24,24.1,10.3
2020-12-22 16:30:00,24.4,24.4,28,28,21.6,21.6,23.6,23.6,23.6,24.1,9.9
2020-12-22 17:00:00,24.4,24.4,28,28,21.6,21.6,23.2,23.2,23.2,23.6,9.4
2020-12-22 17:30:00,24,24,28,28,21.2,21.2,22.8,22.8,22.8,23.6,9
2020-12-22 18:00:00,24.4,24.4,28,28,21.2,21.2,24,24,24,23.6,8.9
2020-12-22 18:30:00,24.4,24.4,27.5,27.5,21.6,21.6,23.6,23.6,23.6,23.6,9
2020-12-22 19:00:00,24.4,24.4,28,28,21.2,21.2,23.2,23.2,23.2,23.6,8.8
2020-12-22 19:30:00,24,24,28,28,21.2,21.2,24,24,24,24.1,8.5
2020-12-22 20:00:00,24,24,27.5,27.5,21.2,21.2,22.8,22.8,22.8,24.1,8.4
2020-12-22 20:30:00,24,24,28,28,21.2,21.2,24,24,24,24.1,8.1
2020-12-22 21:00:00,23.6,23.6,28,28,20.8,20.8,22.8,22.8,22.8,24.1,7.6
2020-12-22 21:30:00,23.6,23.6,28,28,21.2,21.2,23.2,23.2,23.2,24.1,6.9
2020-12-22 22:00:00,23.6,23.6,27.5,27.5,20.8,20.8,23.6,23.6,23.6,24.1,6.5
2020-12-22 22:30:00,23.2,23.2,27.5,27.5,20.8,20.8,22.8,22.8,22.8,24.1,6.2
2020-12-22 23:00:00,23.2,23.2,27.5,27.5,21.2,21.2,23.6,23.6,23.6,24.5,5.9
2020-12-22 23:30:00,23.2,23.2,23.5,23.5,22,22,21.6,21.6,21.6,24.1,5.5
