éûä‘,5f0ê›íËâ∑ìx,5f0â^ì]ÉÇÅ[Éh,5f0ïóë¨,5f0ãzçûâ∑ìx,5f1ê›íËâ∑ìx,5f1â^ì]ÉÇÅ[Éh,5f1ïóë¨,5f1ãzçûâ∑ìx,5f2ê›íËâ∑ìx,5f2â^ì]ÉÇÅ[Éh,5f2ïóë¨,5f2ãzçûâ∑ìx,5f3ê›íËâ∑ìx,5f3â^ì]ÉÇÅ[Éh,5f3ïóë¨,5f3ãzçûâ∑ìx,5f4ê›íËâ∑ìx,5f4â^ì]ÉÇÅ[Éh,5f4ïóë¨,5f4ãzçûâ∑ìx,5f5ê›íËâ∑ìx,5f5â^ì]ÉÇÅ[Éh,5f5ïóë¨,5f5ãzçûâ∑ìx,5f6ê›íËâ∑ìx,5f6â^ì]ÉÇÅ[Éh,5f6ïóë¨,5f6ãzçûâ∑ìx,5f7ê›íËâ∑ìx,5f7â^ì]ÉÇÅ[Éh,5f7ïóë¨,5f7ãzçûâ∑ìx,5f8ê›íËâ∑ìx,5f8â^ì]ÉÇÅ[Éh,5f8ïóë¨,5f8ãzçûâ∑ìx,5f9ê›íËâ∑ìx,5f9â^ì]ÉÇÅ[Éh,5f9ïóë¨,5f9ãzçûâ∑ìx,5ãCâ∑
2021-08-23 00:00:00,25,0,1,26.8,25,0,1,26.8,25,0,1,27.2,25,0,1,27.2,25,0,3,27.2,25,0,3,27.2,25,0,3,28.1,25,0,3,28.1,25,0,3,28.1,25,0,1,25.2,28.4
2021-08-23 00:01:00,25,0,1,26.8,25,0,1,26.8,25,0,1,27.2,25,0,1,27.2,25,0,3,27.2,25,0,3,27.2,25,0,3,28.1,25,0,3,28.1,25,0,3,28.1,25,0,1,25.2,28.4
2021-08-23 00:02:00,25,0,1,26.8,25,0,1,26.8,25,0,1,27.2,25,0,1,27.2,25,0,3,27.2,25,0,3,27.2,25,0,3,28.1,25,0,3,28.1,25,0,3,28.1,25,0,1,25.2,28.3
2021-08-23 00:03:00,25,0,1,26.8,25,0,1,26.8,25,0,1,27.2,25,0,1,27.2,25,0,3,27.2,25,0,3,27.2,25,0,3,28.1,25,0,3,28.1,25,0,3,28.1,25,0,1,25.2,28.3
2021-08-23 00:04:00,25,0,1,26.8,25,0,1,26.8,25,0,1,27.2,25,0,1,27.2,25,0,3,27.2,25,0,3,27.2,25,0,3,28.1,25,0,3,28.1,25,0,3,28.1,25,0,1,25.2,28.3
2021-08-23 00:05:00,25,0,1,26.8,25,0,1,26.8,25,0,1,27.2,25,0,1,27.2,25,0,3,27.2,25,0,3,27.2,25,0,3,28.1,25,0,3,28.1,25,0,3,28.1,25,0,1,25.2,28.3
2021-08-23 00:06:00,25,0,1,26.8,25,0,1,26.8,25,0,1,27.2,25,0,1,27.2,25,0,3,27.2,25,0,3,27.2,25,0,3,28.1,25,0,3,28.1,25,0,3,28.1,25,0,1,25.2,28.3
2021-08-23 00:07:00,25,0,1,26.8,25,0,1,26.8,25,0,1,27.2,25,0,1,27.2,25,0,3,27.2,25,0,3,27.2,25,0,3,28.1,25,0,3,28.1,25,0,3,28.1,25,0,1,25.2,28.3
2021-08-23 00:08:00,25,0,1,26.8,25,0,1,26.8,25,0,1,27.2,25,0,1,27.2,25,0,3,27.2,25,0,3,27.2,25,0,3,28.1,25,0,3,28.1,25,0,3,28.1,25,0,1,25.2,28.2
2021-08-23 00:09:00,25,0,1,26.8,25,0,1,26.8,25,0,1,27.2,25,0,1,27.2,25,0,3,27.2,25,0,3,27.2,25,0,3,28.1,25,0,3,28.1,25,0,3,28.1,25,0,1,25.2,28.2
2021-08-23 00:10:00,25,0,1,26.8,25,0,1,26.8,25,0,1,27.2,25,0,1,27.2,25,0,3,27.2,25,0,3,27.2,25,0,3,28.1,25,0,3,28.1,25,0,3,28.1,25,0,1,25.2,28.2
2021-08-23 00:11:00,25,0,1,26.8,25,0,1,26.8,25,0,1,27.2,25,0,1,27.2,25,0,3,27.2,25,0,3,27.2,25,0,3,28.1,25,0,3,28.1,25,0,3,28.1,25,0,1,25.2,28.1
2021-08-23 00:12:00,25,0,1,26.8,25,0,1,26.8,25,0,1,27.2,25,0,1,27.2,25,0,3,27.2,25,0,3,27.2,25,0,3,28.1,25,0,3,28.1,25,0,3,28.1,25,0,1,25.2,28.1
2021-08-23 00:13:00,25,0,1,26.8,25,0,1,26.8,25,0,1,27.2,25,0,1,27.2,25,0,3,27.2,25,0,3,27.2,25,0,3,28.1,25,0,3,28.1,25,0,3,28.1,25,0,1,25.2,28.1
2021-08-23 00:14:00,25,0,1,26.8,25,0,1,26.8,25,0,1,27.2,25,0,1,27.2,25,0,3,27.2,25,0,3,27.2,25,0,3,28.1,25,0,3,28.1,25,0,3,28.1,25,0,1,25.2,28.2
